As. Pct,Blk Pct,Box +-,DRB Pct,DWS,Deff. Box +-,FG3A PerFGA%,Fta PerFGA%,GP,MP,ORB Pct,OWS,Off. Box +-,PER,Stl Pct,TO Pct,TRB Pct,TS %,Teams,Usg Pct,VORP,WS,WS Per 48,age,name,position
9.1,4.9,0.0,25.4,0.3,3.6,.000,.080,24,216,12.9,0.1,-3.6,10.9,0.9,42.3,19.2,.696,Andrew Bogut,8.8,0.1,0.4,.094,33,Andrew Bogut,C
0.0,0.0,-7.7,12.3,0.0,-4.6,.167,1.000,6,38,18.6,0.0,-3.1,11.7,2.6,18.8,15.4,.521,Joel Bolomboy,12.6,-0.1,0.1,.079,24,Joel Bolomboy,PF
24.4,0.6,0.4,12.7,0.6,-2.4,.364,.312,54,1865,1.5,1.9,2.9,18.1,1.2,13.9,7.0,.561,Devin Booker,31.7,1.2,2.4,.063,21,Devin Booker,SG
10.8,1.5,-0.5,18.6,1.3,0.5,.096,.271,68,1158,11.1,1.6,-1.0,14.9,1.2,13.3,14.9,.557,Trevor Booker,16.6,0.4,2.9,.121,30,Trevor Booker,PF
16.2,0.9,-1.5,22.0,0.3,0.2,.080,.287,18,395,10.1,0.3,-1.6,15.4,1.0,15.1,16.0,.536,Trevor Booker,21.8,0.1,0.6,.072,30,Trevor Booker,PF
7.6,1.9,0.7,15.7,0.7,1.4,.064,.358,33,494,10.7,1.0,-0.7,14.5,1.6,13.7,13.3,.618,Trevor Booker,12.6,0.3,1.7,.163,30,Trevor Booker,PF
9.0,1.6,-1.3,18.8,0.2,-0.6,.167,.131,17,269,13.5,0.4,-0.7,14.7,0.7,9.2,16.2,.512,Trevor Booker,16.2,0.0,0.7,.118,30,Trevor Booker,PF
0.0,0.0,-59.0,100.0,0.0,-20.1,1.000,.000,1,1,0.0,0.0,-38.9,-28.5,0.0,0.0,55.9,.000,Chris Boucher,43.9,0.0,0.0,-0.899,25,Chris Boucher,PF
,,,,,,,,,,,,,,,,,,,,,,,,,
10.4,0.5,-4.2,7.3,1.2,-1.4,.325,.131,46,1433,1.7,-1.4,-2.8,9.6,1.8,13.3,4.5,.496,Avery Bradley,23.5,-0.8,-0.2,-0.007,27,Avery Bradley,SG
10.5,0.5,-4.2,6.7,1.1,-1.5,.340,.140,40,1268,1.6,-1.4,-2.7,9.7,1.8,13.3,4.1,.497,Avery Bradley,24.4,-0.7,-0.2,-0.009,27,Avery Bradley,SG
9.8,0.5,-4.2,12.5,0.1,-0.8,.164,.036,6,165,2.0,-0.1,-3.4,9.0,1.5,12.5,7.3,.492,Avery Bradley,16.7,-0.1,0.0,.009,27,Avery Bradley,SG
5.0,0.0,-9.6,27.1,0.0,-3.0,.091,.182,9,29,15.8,0.0,-6.6,9.5,0.0,0.0,21.5,.337,Tony Bradley,18.4,-0.1,0.0,.033,20,Tony Bradley,C
7.5,1.0,-0.6,10.0,1.6,1.0,.348,.285,72,1208,3.8,0.7,-1.6,11.2,3.2,12.1,6.9,.534,Corey Brewer,14.3,0.4,2.3,.091,31,Corey Brewer,SF-SG
8.1,0.9,-2.7,10.7,0.9,0.9,.250,.297,54,694,3.6,-0.2,-3.6,8.9,2.8,16.3,7.1,.509,Corey Brewer,14.2,-0.1,0.7,.048,31,Corey Brewer,SF
6.7,1.1,2.1,9.2,0.7,1.1,.465,.271,18,514,4.2,0.9,1.1,14.2,3.7,6.4,6.6,.565,Corey Brewer,14.4,0.5,1.6,.150,31,Corey Brewer,SG
16.3,0.8,-1.3,10.8,0.7,-1.9,.320,.169,48,1436,1.9,2.0,0.6,14.3,1.4,10.9,6.4,.578,Malcolm Brogdon,19.1,0.2,2.7,.091,25,Malcolm Brogdon,PG
15.1,0.0,-4.3,6.2,0.1,-3.6,.449,.159,32,189,4.2,0.1,-0.8,9.8,1.6,13.0,5.2,.508,Aaron Brooks,19.9,-0.1,0.1,.033,33,Aaron Brooks,PG
9.3,0.7,-3.1,10.5,1.1,-1.3,.342,.215,82,2350,2.4,0.1,-1.8,9.8,1.6,12.8,6.3,.531,Dillon Brooks,18.5,-0.7,1.2,.024,22,Dillon Brooks,SF
25.9,1.5,4.1,8.0,0.2,-1.7,.314,.225,7,193,4.7,0.6,5.7,26.1,2.9,12.5,6.3,.629,MarShon Brooks,29.8,0.3,0.7,.179,29,MarShon Brooks,SG
41.7,0.0,2.1,0.0,0.0,-15.0,1.000,.000,1,4,0.0,0.0,17.1,41.9,0.0,0.0,0.0,1.500,Anthony Brown,11.1,0.0,0.0,.571,25,Anthony Brown,SF
15.0,0.0,-9.3,6.8,0.1,-4.2,.690,.034,20,115,0.0,-0.3,-5.0,5.5,1.7,13.3,3.4,.425,Bobby Brown,26.1,-0.2,-0.2,-0.080,33,Bobby Brown,PG
8.5,1.0,-0.2,14.0,3.2,0.4,.381,.290,70,2152,3.4,1.2,-0.6,13.6,1.6,12.0,8.8,.562,Jaylen Brown,21.4,1.0,4.5,.100,21,Jaylen Brown,SG
12.4,0.0,-3.0,11.1,0.1,-0.2,.353,.059,14,139,0.8,0.0,-2.8,8.2,1.8,7.9,6.0,.459,Lorenzo Brown,11.9,0.0,0.2,.060,27,Lorenzo Brown,PG
8.7,0.0,-8.4,14.4,0.0,-1.7,.714,.000,4,31,3.7,-0.1,-6.7,-1.2,0.0,22.2,9.1,.357,Markel Brown,12.8,-0.1,0.0,-0.063,26,Markel Brown,SG
4.5,1.4,-4.0,17.5,0.7,-1.0,.444,.117,54,776,4.1,0.0,-3.1,9.1,2.0,10.4,10.8,.503,Sterling Brown,14.0,-0.4,0.7,.043,22,Sterling Brown,SG
0.0,0.0,-18.5,33.5,0.0,-4.7,1.000,.000,4,10,0.0,0.0,-13.8,-4.6,0.0,0.0,16.7,.000,Nicolás Brussino,8.7,0.0,0.0,-0.180,24,Nicolás Brussino,SF
11.5,2.3,-4.2,20.5,0.1,-0.4,.476,.429,15,72,4.5,0.0,-3.8,9.9,0.7,7.4,12.6,.441,Thomas Bryant,15.9,0.0,0.1,.050,20,Thomas Bryant,C
8.4,0.7,0.7,8.3,1.4,-0.7,.515,.090,62,1732,1.7,2.8,1.3,13.6,1.4,7.6,4.9,.615,Reggie Bullock,15.7,1.2,4.2,.117,26,Reggie Bullock,SF
36.4,0.4,1.0,8.2,0.3,-3.2,.273,.148,36,785,1.8,2.0,4.2,21.0,1.5,9.5,5.0,.563,Trey Burke,25.1,0.6,2.4,.145,25,Trey Burke,PG
10.0,0.6,-2.8,18.4,1.6,-0.3,.343,.300,64,1059,2.1,0.2,-2.5,13.1,1.8,11.4,10.3,.527,Alec Burks,22.5,-0.2,1.9,.084,26,Alec Burks,SG
20.6,1.0,5.0,12.7,1.8,0.1,.217,.461,59,2164,4.2,7.1,4.9,23.7,2.7,8.9,8.4,.590,Jimmy Butler,24.9,3.8,8.9,.198,28,Jimmy Butler,SG
22.4,0.4,-4.3,7.7,0.4,-1.8,.227,.207,29,427,3.0,-0.2,-2.5,12.8,2.2,15.3,5.3,.498,Dwight Buycks,26.4,-0.2,0.2,.027,28,Dwight Buycks,PG
,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,3.5,-5.4,16.6,0.1,-0.5,.548,.194,12,107,7.1,-0.1,-5.0,7.4,1.4,10.6,11.7,.386,Bruno Caboclo,15.8,-0.1,0.0,-0.021,22,Bruno Caboclo,SF
16.7,0.0,-2.4,15.7,0.0,4.4,1.000,.000,2,7,0.0,0.0,-6.8,-0.1,7.0,0.0,8.0,.000,Bruno Caboclo,12.5,0.0,0.0,-0.113,22,Bruno Caboclo,SF
4.2,3.8,-5.6,16.6,0.1,-0.8,.517,.207,10,100,7.6,-0.1,-4.8,7.9,1.0,11.2,12.0,.411,Bruno Caboclo,16.0,-0.1,0.0,-0.015,22,Bruno Caboclo,SF
17.4,0.2,-1.9,8.5,0.3,-2.0,.524,.162,57,914,1.7,1.5,0.1,11.3,1.4,17.1,5.2,.643,José Calderón,11.6,0.0,1.8,.095,36,José Calderón,PG
9.4,0.5,1.0,14.1,2.7,0.4,.520,.243,74,2458,2.6,2.6,0.6,13.2,2.1,9.9,8.4,.561,Kentavious Caldwell-Pope,16.9,1.9,5.3,.103,24,Kentavious Caldwell-Pope,SG
26.7,0.2,-2.4,10.0,0.1,-2.5,.482,.372,20,422,1.5,0.5,0.1,13.5,1.8,15.4,5.7,.539,Isaiah Canaan,18.9,0.0,0.6,.072,26,Isaiah Canaan,PG-SG
0.0,0.0,-21.2,27.9,0.0,-3.9,.000,.000,1,4,0.0,0.0,-17.3,-7.3,0.0,0.0,14.1,.000,Isaiah Canaan,11.0,0.0,0.0,-0.224,26,Isaiah Canaan,SG
26.9,0.2,-2.2,9.9,0.1,-2.5,.485,.375,19,418,1.5,0.5,0.3,13.7,1.8,15.5,5.6,.543,Isaiah Canaan,19.0,0.0,0.7,.075,26,Isaiah Canaan,PG
5.7,5.7,3.0,30.8,4.1,2.9,.001,.380,74,2034,13.5,6.2,0.1,24.5,1.4,11.5,22.2,.650,Clint Capela,19.4,2.6,10.2,.242,23,Clint Capela,C
10.5,1.0,0.2,18.4,1.8,-0.3,.498,.313,73,2180,5.1,2.3,0.4,14.3,1.3,10.3,11.7,.550,DeMarre Carroll,19.8,1.2,4.1,.091,31,DeMarre Carroll,PF
9.7,2.4,-1.1,15.1,0.9,0.4,.583,.131,58,1026,1.9,0.3,-1.5,10.8,2.1,10.7,8.2,.523,Vince Carter,14.7,0.2,1.2,.056,41,Vince Carter,SF
19.4,2.3,-0.6,13.3,1.1,2.0,.258,.389,52,835,4.7,-0.2,-2.6,10.8,2.6,16.2,8.9,.446,Michael Carter-Williams,16.6,0.3,0.9,.050,26,Michael Carter-Williams,PG
17.8,1.4,-2.9,9.4,0.6,0.5,.371,.259,37,562,2.9,-0.1,-3.4,8.7,2.0,24.5,6.2,.519,Alex Caruso,12.9,-0.1,0.5,.041,23,Alex Caruso,PG
9.5,2.0,-1.4,24.0,1.0,0.0,.106,.333,53,740,4.9,1.2,-1.5,15.5,1.2,13.5,15.1,.632,Omri Casspi,16.3,0.1,2.2,.141,29,Omri Casspi,SF
13.7,3.1,0.4,22.0,2.2,1.7,.016,.320,73,2044,7.0,1.7,-1.3,17.6,1.9,11.0,14.2,.529,Willie Cauley-Stein,21.8,1.2,3.9,.092,24,Willie Cauley-Stein,C
