APP,BPP,DRB PP,FG %,FG PP,FG2 %,FG2 PP,FG2A PP,FG3 %,FG3 PP,FG3A PP,FGA PP,FT %,FT PP,FTA PP,Fouls PP,GP,GS,MP,ORB PP,Off. Ra,PPP,SPP,TO PP,TRB PP,Teams,age,name,position
3.7,0.0,3.0,.429,6.7,.500,3.0,6.0,.385,3.7,9.7,15.7,1.000,3.0,3.0,3.0,13,0,64,0.0,124,20.2,0.7,0.7,3.0,James Nunnally,28,James Nunnally,SF
2.6,0.0,1.3,.231,3.9,.000,0.0,1.3,.250,3.9,15.5,16.8,,0.0,0.0,7.7,2,0,38,0.0,83,11.6,0.0,0.0,1.3,James Nunnally,28,James Nunnally,SF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,2.5,12.4,.508,10.3,.523,10.2,19.6,.103,0.1,0.7,20.3,.773,6.9,9.0,6.1,72,72,1974,6.0,116,27.6,1.7,4.1,18.4,Jusuf Nurkić,24,Jusuf Nurkić,C
2.7,0.9,6.2,.481,6.4,.545,5.1,9.4,.320,1.2,3.8,13.2,.682,2.9,4.3,5.4,51,14,984,2.1,115,16.9,1.8,1.5,8.2,David Nwaba,26,David Nwaba,SG
3.6,0.7,7.5,.475,4.7,.569,2.7,4.8,.386,1.9,5.0,9.8,.762,0.9,1.2,4.9,82,16,1671,0.6,108,12.2,1.5,2.0,8.2,Royce O'Neale,25,Royce O'Neale,SF
7.4,3.3,11.9,.507,9.1,.548,9.0,16.3,.083,0.1,1.6,17.9,.810,2.2,2.8,9.0,45,3,371,3.8,106,20.6,1.2,4.1,15.7,Kyle O'Quinn,28,Kyle O'Quinn,C
1.9,0.3,5.0,.424,5.4,.565,3.2,5.6,.315,2.3,7.2,12.8,.615,1.9,3.2,3.5,56,3,594,1.9,106,15.1,0.8,1.5,7.0,Semi Ojeleye,24,Semi Ojeleye,PF
2.0,2.0,9.7,.586,10.5,.591,10.5,17.7,.200,0.0,0.2,18.0,.663,2.9,4.4,4.8,59,24,935,4.1,115,24.1,0.7,2.6,13.8,Jahlil Okafor,23,Jahlil Okafor,C
6.3,0.3,4.3,.393,5.7,.475,3.7,7.9,.295,1.9,6.6,14.5,.787,1.8,2.3,5.4,53,16,958,0.6,94,15.2,1.6,3.4,4.9,Élie Okobo,21,Élie Okobo,PG
2.5,0.9,4.8,.386,5.3,.464,3.7,8.0,.279,1.6,5.9,13.9,.728,3.2,4.4,4.5,74,52,1757,1.1,101,15.5,2.4,1.7,5.9,Josh Okogie,20,Josh Okogie,SG
7.9,0.5,7.7,.423,10.6,.470,7.5,15.9,.343,3.2,9.2,25.1,.730,4.4,6.0,3.1,36,36,1147,0.9,104,28.8,2.6,3.5,8.6,Victor Oladipo,26,Victor Oladipo,SG
3.8,1.0,8.2,.463,7.0,.604,4.0,6.6,.354,3.0,8.6,15.2,.822,4.1,5.0,4.9,79,36,1812,1.9,114,21.2,1.4,3.1,10.1,Kelly Olynyk,27,Kelly Olynyk,PF
4.0,0.2,6.3,.427,7.3,.489,4.7,9.6,.348,2.6,7.6,17.2,.779,2.9,3.7,4.0,76,75,2444,0.9,106,20.1,1.2,2.3,7.3,Cedi Osman,23,Cedi Osman,SF
2.1,1.5,6.2,.445,9.2,.530,6.6,12.4,.320,2.7,8.3,20.7,.775,4.6,6.0,4.5,69,19,1935,1.7,105,25.8,2.1,2.5,8.0,Kelly Oubre,23,Kelly Oubre,SF
1.3,1.3,6.6,.433,8.3,.526,5.7,10.9,.311,2.6,8.3,19.1,.800,4.3,5.3,4.5,29,7,755,1.5,105,23.4,1.7,1.9,8.1,Kelly Oubre,23,Kelly Oubre,SF
2.6,1.6,6.0,.453,9.8,.532,7.1,13.4,.325,2.7,8.3,21.7,.761,4.9,6.4,4.5,40,12,1180,1.9,105,27.3,2.3,3.0,7.9,Kelly Oubre,23,Kelly Oubre,SF
5.1,1.0,9.3,.440,4.8,.450,4.8,10.6,.000,0.0,0.2,10.8,.782,5.4,7.0,8.5,68,3,878,5.6,114,15.0,1.7,3.2,14.9,Zaza Pachulia,34,Zaza Pachulia,C
4.2,0.8,9.5,.493,10.3,.556,8.6,15.4,.313,1.7,5.4,20.9,.712,3.7,5.1,4.0,64,17,1724,2.2,102,25.9,1.3,4.2,11.7,Jabari Parker,23,Jabari Parker,PF
3.9,0.7,9.3,.474,10.2,.523,8.5,16.3,.325,1.7,5.3,21.6,.731,3.7,5.0,4.0,39,17,1042,1.9,100,25.9,1.1,3.9,11.2,Jabari Parker,23,Jabari Parker,PF
4.7,1.1,9.9,.523,10.3,.613,8.7,14.2,.296,1.7,5.6,19.8,.684,3.6,5.3,4.0,25,0,682,2.6,105,26.0,1.6,4.7,12.5,Jabari Parker,23,Jabari Parker,PF
10.0,0.3,3.3,.460,10.3,.485,9.7,20.0,.255,0.6,2.5,22.4,.734,4.4,6.0,2.6,56,0,1003,0.7,106,25.7,1.0,3.6,4.0,Tony Parker,36,Tony Parker,PG
4.3,0.5,6.6,.374,6.8,.443,3.9,8.8,.309,2.9,9.4,18.2,.880,2.2,2.5,4.5,25,3,496,0.4,91,18.7,1.9,3.2,7.0,Chandler Parsons,30,Chandler Parsons,SF
1.7,0.7,5.7,.374,4.4,.439,2.0,4.4,.336,2.5,7.4,11.9,.633,1.0,1.6,2.5,63,5,861,2.3,106,12.4,0.9,1.2,8.0,Patrick Patterson,29,Patrick Patterson,PF
6.7,0.0,9.0,.286,4.5,.400,4.5,11.2,.000,0.0,4.5,15.7,.500,2.2,4.5,11.2,3,0,21,4.5,99,11.2,4.5,0.0,13.5,Justin Patton,21,Justin Patton,C
12.5,0.5,6.0,.419,8.0,.479,4.6,9.6,.358,3.4,9.4,19.0,.862,4.6,5.4,3.9,58,58,1857,1.0,118,23.9,3.0,4.0,7.0,Chris Paul,33,Chris Paul,PG
7.3,0.6,4.0,.430,6.6,.511,4.9,9.5,.298,1.7,5.8,15.3,.805,2.3,2.8,4.4,40,13,712,0.9,103,17.1,1.9,3.1,4.9,Cameron Payne,24,Cameron Payne,PG
7.5,0.5,3.9,.411,6.2,.486,4.8,9.9,.271,1.4,5.3,15.2,.880,2.0,2.3,4.4,31,12,536,0.9,99,15.9,1.8,3.1,4.8,Cameron Payne,24,Cameron Payne,PG
6.5,0.8,4.5,.491,7.6,.600,5.1,8.5,.360,2.5,7.1,15.5,.688,3.1,4.5,4.2,9,1,176,0.8,114,20.9,2.3,3.1,5.4,Cameron Payne,24,Cameron Payne,PG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.9,0.6,6.4,.434,6.7,.476,5.4,11.4,.314,1.2,3.9,15.3,.743,2.0,2.8,3.0,42,42,1250,1.8,106,16.6,1.6,4.2,8.2,Elfrid Payton,24,Elfrid Payton,PG
11.8,3.0,3.0,.625,14.8,.667,11.8,17.8,.500,3.0,5.9,23.7,,0.0,0.0,5.9,3,0,16,3.0,135,32.6,8.9,3.0,5.9,Gary Payton,26,Gary Payton,PG
4.7,0.0,7.2,.342,5.6,.481,2.9,6.1,.261,2.7,10.4,16.5,.864,4.3,5.0,3.4,18,0,211,0.9,94,18.3,1.4,4.1,8.1,Theo Pinson,23,Theo Pinson,SG
6.9,2.2,10.2,.593,7.4,.602,7.4,12.3,.200,0.1,0.3,12.5,.561,3.1,5.6,7.2,82,17,1731,4.7,117,18.1,1.9,3.6,14.9,Mason Plumlee,28,Mason Plumlee,C
4.5,1.1,6.1,.667,8.5,.667,8.5,12.8,,0.0,0.0,12.8,.533,4.3,8.0,3.7,18,0,173,4.3,125,21.4,1.6,2.7,10.4,Miles Plumlee,30,Miles Plumlee,C
3.6,2.6,8.9,.645,7.2,.645,7.2,11.1,,0.0,0.0,11.1,.533,1.9,3.5,4.8,77,24,1273,6.8,133,16.2,1.1,1.8,15.7,Jakob Pöltl,23,Jakob Pöltl,C
4.0,0.2,6.4,.500,4.9,.575,3.8,6.7,.333,1.0,3.0,9.7,.810,5.7,7.0,4.0,53,0,292,1.3,123,16.4,1.8,2.2,7.7,Quincy Pondexter,30,Quincy Pondexter,SF
3.4,0.9,7.4,.465,8.5,.504,5.5,11.0,.406,2.9,7.3,18.2,.813,2.2,2.7,3.1,56,43,1683,1.5,111,22.1,2.3,1.8,8.9,Otto Porter,25,Otto Porter,SF
3.2,0.9,7.6,.457,8.0,.515,5.4,10.6,.369,2.6,7.0,17.6,.766,1.9,2.5,3.1,41,28,1191,1.6,110,20.6,2.5,1.6,9.2,Otto Porter,25,Otto Porter,SF
3.9,0.9,6.8,.483,9.6,.479,5.7,11.9,.488,3.8,7.9,19.8,.906,2.9,3.2,2.9,15,15,492,1.4,115,25.8,1.8,2.5,8.2,Otto Porter,25,Otto Porter,SF
2.7,0.7,10.8,.444,10.3,.467,7.5,16.1,.393,2.8,7.0,23.1,.794,2.8,3.6,5.3,50,28,1299,4.0,104,26.1,1.3,2.7,14.8,Bobby Portis,23,Bobby Portis,PF
2.6,0.7,10.5,.450,11.1,.477,8.7,18.2,.375,2.5,6.6,24.8,.780,3.6,4.6,5.6,22,6,531,4.2,105,28.3,1.0,2.6,14.7,Bobby Portis,23,Bobby Portis,PF
2.7,0.7,11.0,.440,9.7,.458,6.7,14.7,.403,3.0,7.3,22.0,.809,2.3,2.9,5.2,28,22,768,3.9,104,24.7,1.5,2.8,14.9,Bobby Portis,23,Bobby Portis,PF
