APerM,BPerM,DRB PerM,FG %,FG PerM,FG2 PerM,FG2A PerM,FG3 %,FG3 PerM,FG3A PerM,FGA PerM,FTPerM,Fouls PerM,GP,GS,MPG,ORB PerM,PPerM,SPerM,TO PerM,TRB PerM,Teams,age,name,position
2.7,0.2,2.4,.441,6.2,.509,6.8,.377,2.8,7.3,14.1,2.7,1.7,80,2,1947,0.4,18.0,1.2,1.7,2.8,Marco Belinelli,31,Marco Belinelli,SG
3.1,0.1,2.6,.410,5.9,.450,7.1,.372,2.7,7.3,14.4,3.0,1.2,52,1,1210,0.4,17.6,1.4,1.6,3.0,Marco Belinelli,31,Marco Belinelli,SG
2.2,0.4,2.2,.495,6.7,.618,6.4,.385,2.8,7.2,13.6,2.3,2.4,28,1,737,0.3,18.6,1.0,2.0,2.5,Marco Belinelli,31,Marco Belinelli,SG
,,,,,,,,,,,,,,,,,,,,,,,,
4.5,2.5,6.5,.627,5.2,.641,8.1,.000,0.0,0.2,8.2,1.3,4.1,57,13,809,2.7,11.7,1.6,2.3,9.2,Jordan Bell,23,Jordan Bell,C
3.9,0.9,5.1,.414,4.2,.429,7.8,.367,0.9,2.4,10.1,1.5,3.0,26,3,455,0.6,10.8,1.7,3.7,5.7,DeAndre' Bembry,23,DeAndre' Bembry,SF
2.3,0.9,5.6,.386,3.3,.426,2.8,.366,2.1,5.6,8.4,0.7,2.9,82,37,2069,0.7,9.2,0.4,1.9,6.3,Dragan Bender,20,Dragan Bender,PF
2.5,0.9,4.5,.440,5.3,.588,3.8,.373,3.1,8.4,12.1,1.3,3.1,77,10,1086,0.6,15.1,0.9,1.2,5.1,Dāvis Bertāns,25,Dāvis Bertāns,PF
3.4,0.5,3.1,.403,5.2,.407,6.4,.400,2.6,6.5,12.8,1.5,3.7,11,11,334,1.7,14.4,2.0,2.7,4.9,Patrick Beverley,29,Patrick Beverley,SG
2.1,1.3,6.9,.540,4.2,.540,7.8,,0.0,0.0,7.8,2.6,3.5,42,0,578,4.4,11.1,0.9,1.3,11.2,Khem Birch,25,Khem Birch,C
2.5,0.3,4.1,.577,4.7,.632,5.9,.429,0.9,2.2,8.1,1.9,2.2,13,1,115,1.9,12.2,0.9,2.5,5.9,Jabari Bird,23,Jabari Bird,SG
1.6,2.3,7.8,.520,4.4,.521,8.5,.000,0.0,0.0,8.5,2.5,3.8,82,25,1495,3.5,11.3,0.5,2.0,11.3,Bismack Biyombo,25,Bismack Biyombo,C
2.3,0.4,5.8,.461,4.5,.505,4.9,.415,2.0,4.8,9.7,0.9,3.7,67,21,1371,1.4,11.9,1.3,1.4,7.2,Nemanja Bjelica,29,Nemanja Bjelica,PF
0.9,2.0,6.7,.591,5.0,.638,7.8,.091,0.1,0.7,8.5,1.9,7.2,51,2,536,4.2,12.1,1.4,2.4,10.9,Tarik Black,26,Tarik Black,C
2.3,0.1,3.3,.371,6.1,.418,10.4,.288,1.7,6.0,16.4,3.4,2.2,19,0,314,0.5,17.3,0.8,1.3,3.8,Antonio Blakeney,21,Antonio Blakeney,SG
5.7,0.7,3.6,.473,7.3,.545,9.8,.347,1.9,5.6,15.3,3.9,2.9,74,74,2322,0.8,20.4,2.3,3.3,4.4,Eric Bledsoe,28,Eric Bledsoe,PG
3.9,0.9,1.7,.400,6.9,.444,11.7,.308,1.7,5.6,17.3,4.8,2.6,3,3,83,1.3,20.4,1.7,4.3,3.0,Eric Bledsoe,28,Eric Bledsoe,PG
5.8,0.6,3.7,.476,7.3,.550,9.7,.349,1.9,5.6,15.3,3.9,2.9,71,71,2239,0.8,20.4,2.3,3.3,4.5,Eric Bledsoe,28,Eric Bledsoe,PG
2.4,0.0,0.8,.200,0.8,.333,2.4,.000,0.0,1.6,4.0,0.8,1.6,5,0,45,0.0,2.4,0.8,2.4,0.8,Vander Blue,25,Vander Blue,SG
4.3,0.3,3.2,.446,5.7,.485,7.3,.392,2.1,5.4,12.8,1.7,2.8,78,53,2175,0.5,15.2,1.2,2.1,3.7,Bogdan Bogdanović,25,Bogdan Bogdanović,SG
1.7,0.1,3.5,.474,5.9,.534,6.8,.402,2.3,5.6,12.4,2.6,1.9,80,80,2464,0.4,16.7,0.8,1.5,3.9,Bojan Bogdanović,28,Bojan Bogdanović,SF
2.5,2.2,8.7,.680,2.8,.680,4.2,,0.0,0.0,4.2,0.3,6.7,24,5,216,4.3,6.0,0.7,3.2,13.0,Andrew Bogut,33,Andrew Bogut,C
0.0,0.0,3.8,.500,2.8,.600,4.7,.000,0.0,0.9,5.7,2.8,2.8,6,0,38,5.7,8.5,1.9,1.9,9.5,Joel Bolomboy,24,Joel Bolomboy,PF
4.9,0.3,4.2,.432,8.8,.460,12.9,.383,2.8,7.4,20.3,5.6,3.2,54,54,1865,0.5,26.0,0.9,3.7,4.7,Devin Booker,21,Devin Booker,SG
2.5,0.7,6.2,.516,5.5,.545,9.6,.242,0.2,1.0,10.7,2.1,3.7,68,7,1158,3.6,13.3,0.9,1.8,9.9,Trevor Booker,30,Trevor Booker,PF
3.5,0.5,7.4,.513,7.0,.536,12.6,.250,0.3,1.1,13.7,2.2,3.9,18,6,395,3.5,16.5,0.7,2.7,10.8,Trevor Booker,30,Trevor Booker,PF
2.0,0.8,5.5,.560,4.4,.578,7.4,.286,0.1,0.5,7.9,2.3,3.6,33,0,494,3.4,11.4,1.2,1.5,8.9,Trevor Booker,30,Trevor Booker,PF
2.3,0.7,6.0,.464,5.2,.514,9.4,.214,0.4,1.9,11.2,1.3,3.5,17,1,269,4.3,12.2,0.5,1.2,10.3,Trevor Booker,30,Trevor Booker,PF
0.0,0.0,36.0,.000,0.0,,0.0,.000,0.0,36.0,36.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,36.0,Chris Boucher,25,Chris Boucher,PF
,,,,,,,,,,,,,,,,,,,,,,,,
2.4,0.2,2.4,.414,6.5,.436,10.6,.369,1.9,5.1,15.7,1.6,2.3,46,46,1433,0.6,16.5,1.3,2.5,2.9,Avery Bradley,27,Avery Bradley,SG
2.4,0.2,2.1,.409,6.6,.423,10.7,.381,2.1,5.5,16.2,1.7,2.3,40,40,1268,0.5,17.1,1.3,2.6,2.7,Avery Bradley,27,Avery Bradley,SG
2.4,0.2,4.1,.473,5.7,.543,10.0,.111,0.2,2.0,12.0,0.4,2.6,6,6,165,0.7,12.0,1.1,1.7,4.8,Avery Bradley,27,Avery Bradley,SG
1.2,0.0,8.7,.273,3.7,.300,12.4,.000,0.0,1.2,13.7,2.5,1.2,9,0,29,5.0,9.9,0.0,0.0,13.7,Tony Bradley,20,Tony Bradley,C
1.9,0.4,3.3,.449,4.2,.539,6.1,.282,0.9,3.3,9.4,1.9,4.1,72,18,1208,1.3,11.3,2.4,1.5,4.6,Corey Brewer,31,Corey Brewer,SF-SG
2.1,0.4,3.6,.453,4.0,.543,6.7,.186,0.4,2.2,8.9,1.8,4.3,54,2,694,1.2,10.3,2.1,2.0,4.8,Corey Brewer,31,Corey Brewer,SF
1.7,0.4,2.9,.444,4.5,.532,5.4,.343,1.6,4.7,10.1,2.2,3.9,18,16,514,1.4,12.7,2.7,0.8,4.3,Corey Brewer,31,Corey Brewer,SG
3.8,0.3,3.3,.485,6.1,.532,8.6,.385,1.6,4.0,12.6,1.9,3.2,48,20,1436,0.6,15.7,1.0,1.7,3.9,Malcolm Brogdon,25,Malcolm Brogdon,PG
3.8,0.0,1.9,.406,5.3,.447,7.2,.355,2.1,5.9,13.1,1.5,5.3,32,1,189,1.3,14.3,1.1,2.1,3.2,Aaron Brooks,33,Aaron Brooks,PG
2.1,0.3,3.2,.440,5.2,.484,7.8,.356,1.4,4.0,11.8,1.9,3.6,82,74,2350,0.8,13.8,1.1,1.9,3.9,Dillon Brooks,22,Dillon Brooks,SF
4.7,0.6,2.4,.500,9.5,.457,13.1,.594,3.5,6.0,19.0,3.7,1.1,7,1,193,1.5,26.3,2.1,3.0,3.9,MarShon Brooks,29,MarShon Brooks,SG
9.0,0.0,0.0,1.000,9.0,,0.0,1.000,9.0,9.0,9.0,0.0,0.0,1,0,4,0.0,27.0,0.0,0.0,0.0,Anthony Brown,25,Anthony Brown,SF
3.4,0.0,2.2,.328,5.9,.444,5.6,.275,3.4,12.5,18.2,0.3,1.9,20,0,115,0.0,15.7,1.3,2.8,2.2,Bobby Brown,33,Bobby Brown,PG
1.9,0.4,4.7,.465,6.2,.507,8.3,.395,2.0,5.1,13.4,2.5,3.0,70,70,2152,1.1,17.0,1.2,2.1,5.8,Jaylen Brown,21,Jaylen Brown,SG
3.4,0.0,3.6,.412,3.6,.545,5.7,.167,0.5,3.1,8.8,0.5,1.8,14,0,139,0.3,8.3,1.3,0.8,3.9,Lorenzo Brown,27,Lorenzo Brown,PG
2.3,0.0,4.6,.286,2.3,.500,2.3,.200,1.2,5.8,8.1,0.0,7.0,4,0,31,1.2,5.8,0.0,2.3,5.8,Markel Brown,26,Markel Brown,SG
1.2,0.6,5.4,.400,3.8,.439,5.3,.352,1.5,4.2,9.5,1.0,3.7,54,4,776,1.3,10.1,1.4,1.2,6.6,Sterling Brown,22,Sterling Brown,SG
0.0,0.0,10.8,.000,0.0,,0.0,.000,0.0,7.2,7.2,0.0,0.0,4,0,10,0.0,0.0,0.0,0.0,10.8,Nicolás Brussino,24,Nicolás Brussino,SF
3.0,1.0,7.0,.381,4.0,.636,5.5,.100,0.5,5.0,10.5,2.5,3.0,15,0,72,1.5,11.0,0.5,1.0,8.5,Thomas Bryant,20,Thomas Bryant,C
2.0,0.3,2.6,.489,5.5,.536,5.5,.445,2.6,5.8,11.3,0.8,1.5,62,52,1732,0.6,14.5,1.0,1.0,3.2,Reggie Bullock,26,Reggie Bullock,SF
7.8,0.2,2.7,.503,8.9,.556,12.8,.362,1.7,4.8,17.6,1.7,2.0,36,9,785,0.6,21.1,1.1,2.0,3.3,Trey Burke,25,Trey Burke,PG
2.3,0.3,5.9,.411,5.8,.452,9.2,.331,1.6,4.8,14.1,3.6,2.5,64,1,1059,0.6,16.8,1.3,2.0,6.5,Alec Burks,26,Alec Burks,SG
4.8,0.4,3.9,.474,7.3,.509,12.0,.350,1.2,3.3,15.3,6.0,1.3,59,59,2164,1.3,21.7,1.9,1.8,5.2,Jimmy Butler,28,Jimmy Butler,SG
5.0,0.2,2.4,.414,6.9,.438,12.9,.333,1.3,3.8,16.7,3.0,3.3,29,0,427,1.0,18.1,1.6,3.3,3.5,Dwight Buycks,28,Dwight Buycks,PG
,,,,,,,,,,,,,,,,,,,,,,,,
1.3,1.3,5.0,.290,3.0,.429,4.7,.176,1.0,5.7,10.4,1.7,2.7,12,0,107,2.4,8.7,1.0,1.3,7.4,Bruno Caboclo,22,Bruno Caboclo,SF
5.1,0.0,5.1,.000,0.0,,0.0,.000,0.0,10.3,10.3,0.0,5.1,2,0,7,0.0,0.0,5.1,0.0,5.1,Bruno Caboclo,22,Bruno Caboclo,SF
1.1,1.4,5.0,.310,3.2,.429,5.0,.200,1.1,5.4,10.4,1.8,2.5,10,0,100,2.5,9.4,0.7,1.4,7.6,Bruno Caboclo,22,Bruno Caboclo,SF
4.6,0.1,2.8,.503,3.7,.545,3.5,.464,1.8,3.8,7.3,0.9,3.2,57,32,914,0.6,10.0,1.1,1.6,3.3,José Calderón,36,José Calderón,PG
2.4,0.2,4.8,.426,5.0,.473,5.6,.383,2.3,6.1,11.7,2.2,2.1,74,74,2458,0.9,14.5,1.6,1.4,5.7,Kentavious Caldwell-Pope,24,Kentavious Caldwell-Pope,SG
6.5,0.1,3.3,.380,4.4,.423,6.1,.333,1.9,5.6,11.7,3.9,3.1,20,1,422,0.5,14.7,1.4,2.5,3.8,Isaiah Canaan,26,Isaiah Canaan,PG-SG
