APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
14.5,1.6,0.8,14.9,1.7,0.9,.530,.158,75,2354,3.2,2.0,-0.1,11.9,1.5,16.3,8.9,.581,Nicolas Batum,13.2,1.7,3.7,.076,30,Nicolas Batum,SF
24.6,0.3,-5.1,8.4,0.2,-2.7,.426,.122,34,657,1.8,-0.2,-2.4,8.5,1.3,11.7,5.0,.431,Jerryd Bayless,17.6,-0.5,0.0,-0.003,30,Jerryd Bayless,PG
9.3,3.7,0.2,19.8,1.1,1.4,.274,.278,51,821,11.4,1.3,-1.2,14.0,0.7,13.8,15.6,.567,Aron Baynes,15.2,0.5,2.4,.139,32,Aron Baynes,C
13.5,2.2,-2.2,14.6,1.4,0.0,.434,.253,67,1643,2.3,-0.7,-2.2,11.9,2.5,13.6,8.3,.507,Kent Bazemore,22.0,-0.1,0.7,.021,29,Kent Bazemore,SG
24.1,1.6,2.8,11.7,1.7,-1.1,.370,.278,82,3028,3.1,5.9,3.9,20.8,1.9,11.0,7.4,.581,Bradley Beal,28.4,3.7,7.6,.120,25,Bradley Beal,SG
,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,0.5,-0.5,9.5,1.6,-1.9,.550,.090,81,1879,2.0,2.9,1.4,14.2,1.4,6.7,5.8,.599,Malik Beasley,18.7,0.7,4.5,.115,22,Malik Beasley,SG
14.8,3.0,-4.0,17.2,0.4,-0.4,.111,.255,26,277,4.9,-0.1,-3.7,15.9,1.5,13.7,11.2,.532,Michael Beasley,29.5,-0.1,0.2,.039,30,Michael Beasley,PF
10.1,0.4,-2.1,10.8,1.1,-2.4,.572,.180,79,1815,1.0,1.4,0.3,11.9,0.9,8.8,5.9,.557,Marco Belinelli,19.8,0.0,2.5,.065,32,Marco Belinelli,SG
12.3,5.4,-0.4,16.7,1.1,2.8,.010,.214,68,788,7.8,0.5,-3.1,12.9,1.2,16.7,12.5,.531,Jordan Bell,13.7,0.3,1.6,.096,24,Jordan Bell,C
14.7,1.8,-2.2,16.9,1.7,1.1,.281,.221,82,1931,2.9,-0.9,-3.3,10.8,2.5,17.4,9.7,.508,DeAndre' Bembry,17.2,-0.1,0.9,.022,24,DeAndre' Bembry,SG
9.4,2.2,-3.4,20.3,0.4,-0.3,.513,.274,46,826,4.5,0.0,-3.1,9.5,1.0,14.4,12.3,.521,Dragan Bender,13.4,-0.3,0.5,.027,21,Dragan Bender,PF
7.2,0.0,-7.7,4.3,0.0,-3.5,.723,.000,12,167,1.3,-0.2,-4.2,2.0,0.3,4.1,2.8,.362,Dairis Bertāns,12.0,-0.2,-0.2,-0.054,29,Dairis Bertāns,SG
