name,Teams,age,Restricted FGM,Restricted FGA,Restricted FG%,Paint FGM,Paint FGA,Paint FG%,Mid FGM,Mid FGA,Mid FG%,Left Corner FGM,Left Corner FGA,Left Corner FG%,Right Corner FGM,Right Corner FGA,Right Corner FG%,Above Break FGM,Above Break FGA,Above Break FG%
Jameel McKay,WCB,26,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0
Jameel Warney,WES,25,4.3,6.7,63.4,1.8,4.2,42.1,0.3,0.9,29.5,0.0,0.0,50.0,0.0,0.1,0.0,0.8,2.7,31.0
Jamel Artis,ACC,26,2.0,3.0,68.5,1.1,2.3,47.9,1.4,3.6,39.6,0.2,0.8,25.0,0.3,0.6,47.1,1.3,3.7,34.8
James Young,WIS,23,2.1,3.7,54.9,0.6,1.8,32.4,0.4,1.6,25.8,0.1,0.7,16.7,0.3,0.5,55.6,2.6,6.0,43.9
Jared Brownridge,DEL,24,1.1,1.9,57.1,0.2,0.4,45.0,0.3,1.0,32.7,0.6,1.3,45.9,0.3,0.6,40.0,3.0,7.7,39.1
Jared Sam,FWN,24,0.7,1.4,45.9,0.2,0.7,33.3,0.2,0.6,31.3,0.0,0.0,0.0,0.1,0.1,100,0.0,0.0,0.0
Jared Terrell,IWA,24,2.3,3.9,60.0,0.7,1.9,35.0,1.0,3.0,33.0,0.3,0.8,37.5,0.2,0.6,35.3,1.3,4.7,27.5
Jarnell Stokes,MHU,25,5.3,7.6,68.9,1.1,1.5,75.0,0.6,1.3,50.0,0.0,0.3,0.0,0.1,0.3,50.0,0.1,0.9,14.3
Jaron Blossomgame,CTN,25,4.0,6.5,61.0,1.5,3.8,40.2,0.4,1.2,33.3,0.1,0.2,50.0,0.0,0.1,0.0,1.2,3.8,31.1
Jarquez Smith,LAK,24,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarred Vanderbilt,DEL,20,1.8,1.8,100,0.5,2.0,25.0,0.3,0.8,33.3,0.7,0.7,100,0.0,0.0,0.0,0.0,0.3,0.0
Jarrett Jack,SXF,35,2.0,3.0,66.7,3.0,5.0,60.0,3.0,6.0,50.0,0.0,1.0,0.0,1.0,1.0,100,0.0,1.0,0.0
Jarvis Threatt,SXF,26,2.5,4.8,52.6,0.8,2.1,35.3,0.3,0.5,50.0,0.3,0.4,66.7,0.0,0.0,0.0,0.4,1.4,27.3
Jarvis Varnado,MHU,31,0.3,0.8,40.0,0.2,0.4,50.0,0.2,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jawun Evans,OKL,22,2.0,4.0,50.0,1.6,3.7,43.2,1.3,2.9,45.7,0.1,0.4,30.8,0.2,0.4,46.2,0.5,1.5,30.6
Jay Wright,LAK,24,0.6,0.8,66.7,0.2,0.3,66.7,0.1,0.4,20.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.8,22.7
Jay-R Strowbridge,MHU,31,0.2,0.5,33.3,0.3,0.8,40.0,0.2,1.7,10.0,0.0,0.5,0.0,0.0,0.2,0.0,0.3,1.2,28.6
Jaylen Adams,ERI,23,2.1,3.6,59.2,0.2,1.1,14.3,0.4,1.1,31.8,0.1,0.2,33.3,0.2,0.7,25.0,2.4,6.8,35.3
Jaylen Barford,GBO,23,3.0,5.0,60.9,0.6,2.1,29.3,1.5,3.4,43.2,0.1,0.3,40.0,0.1,0.3,20.0,1.7,4.8,35.3
Jaylen Johnson,IWA,22,2.2,3.3,66.7,0.2,0.8,29.4,0.1,0.6,16.7,0.2,0.4,42.9,0.1,0.4,16.7,0.6,1.5,41.9
Jaylen Morris,ERI,23,3.8,5.7,66.7,0.6,1.2,46.3,0.1,0.4,33.3,0.2,0.7,27.3,0.1,0.5,22.2,0.9,2.6,33.7
