Bird Rights,Remaining,Teams,Year1,Year2,Year3,Year4,Year5,Year6,name
Bird Rights,"$12,500,000",Miles Plumlee,"$12,500,000","$12,500,000",,,,,Miles Plumlee
,"$12,400,000",Tyreke Evans,"$12,400,000",,,,,,Tyreke Evans
Cap Space,"$25,013,450",Courtney Lee,"$12,253,780","$12,759,670",,,,,Courtney Lee
Cap Space,"$12,252,928",Solomon Hill,"$12,252,928","$13,258,781",,,,,Solomon Hill
,"$12,250,000",J.J. Redick,"$12,250,000",,,,,,J.J. Redick
Cap space,"$23,805,412",Kelly Olynyk,"$12,137,527","$11,667,885","$12,198,243",,,,Kelly Olynyk
,"$20,089,282",Kentavious Caldwell-Pope,"$12,000,000",,,,,,Kentavious Caldwell-Pope
,"$14,000,000",Avery Bradley,"$12,000,000","$2,000,000",,,,,Avery Bradley
,"$12,000,000",Austin Rivers,"$12,000,000",,,,,,Austin Rivers
1st Round Pick,"$12,000,000",Kemba Walker,"$12,000,000",,,,,,Kemba Walker
,"$38,710,358",Will Barton,"$11,830,358","$12,960,000","$13,920,000","$14,880,000",,,Will Barton
1st Round Pick,"$11,750,000",T.J. Warren,"$11,750,000","$10,810,000","$11,750,000","$12,690,000",,,T.J. Warren
,"$11,692,308",Zach Randolph,"$11,692,308",,,,,,Zach Randolph
,"$51,999,900",Marcus Smart,"$11,660,716","$12,553,471","$13,446,428","$14,339,285",,,Marcus Smart
Bird Rights,"$37,285,714",Patty Mills,"$11,571,429","$12,428,571","$13,285,714",,,,Patty Mills
Cap space,"$36,300,000",Dion Waiters,"$11,550,000","$12,100,000","$12,650,000",,,,Dion Waiters
1st Round Pick,"$11,536,515",Alec Burks,"$11,536,515",,,,,,Alec Burks
,,,,,,,,,
,,,,,,,,,
1st Round Pick,"$21,059,862",John Henson,"$11,327,466","$9,732,396",,,,,John Henson
,"$14,286,516",Ömer Aşık,"$11,286,516","$3,000,000",,,,,Ömer Aşık
,"$39,111,111",Jusuf Nurkić,"$11,111,111","$12,000,000","$12,000,000","$12,000,000",,,Jusuf Nurkić
Bird Rights,"$11,011,234",Iman Shumpert,"$11,011,234",,,,,,Iman Shumpert
Cap Space,"$10,837,079",Maurice Harkless,"$10,837,079","$11,511,234",,,,,Maurice Harkless
Cap space,"$10,607,143",Tony Snell,"$10,607,143","$11,392,857","$12,178,571",,,,Tony Snell
Cap Space,"$10,595,506",Meyers Leonard,"$10,595,506","$11,286,515",,,,,Meyers Leonard
Rookie scale extension,"$60,500,000",Terrence Ross,"$10,500,000",,,,,,Terrence Ross
Cap space,"$10,500,000",Bojan Bogdanović,"$10,500,000",,,,,,Bojan Bogdanović
Cap Space,"$46,879,127",Robert Covington,"$10,464,092","$11,301,219","$12,138,345","$12,975,471",,,Robert Covington
Non-Bird Rights,"$38,087,200",Rudy Gay,"$10,087,200",,,,,,Rudy Gay
Cap Space,"$10,002,681",Jon Leuer,"$10,002,681","$3,169,348","$3,169,348","$3,169,347",,,Jon Leuer
Bird Rights,"$20,740,741",Andre Roberson,"$10,000,000","$10,740,741",,,,,Andre Roberson
Bird Rights,"$10,000,000",Danny Green,"$10,000,000",,,,,,Danny Green
Cap space,"$10,000,000",Darren Collison,"$10,000,000",,,,,,Darren Collison
Cap Space,"$52,890,625",Dwight Powell,"$9,631,250","$10,259,375","$10,185,185","$11,000,000","$11,814,815",,Dwight Powell
Cap Space,"$19,215,000",Matthew Dellavedova,"$9,607,500","$9,607,500",,,,,Matthew Dellavedova
Cap Space,"$27,300,000",Dante Exum,"$9,600,000","$9,600,000","$9,600,000",,,,Dante Exum
Cap Space,"$9,530,000",Jared Dudley,"$9,530,000",,,,,,Jared Dudley
Cap Space,"$30,349,728",Norman Powell,"$9,367,200","$10,116,576","$10,865,952","$11,615,328",,,Norman Powell
,,,,,,,,,
,,,,,,,,,
Minimum Salary,"$9,367,200",Josh Richardson,"$9,367,200","$10,100,000","$10,800,000","$11,600,000",,,Josh Richardson
Cap space,"$17,529,386",Bogdan Bogdanović,"$9,000,000","$8,529,386",,,,,Bogdan Bogdanović
,"$11,564,753",Rajon Rondo,"$9,000,000",,,,,,Rajon Rondo
Cap Space,"$17,473,613",E'Twaun Moore,"$8,808,685","$8,664,928",,,,,E'Twaun Moore
Cap Space,"$8,739,500",Kosta Koufos,"$8,739,500",,,,,,Kosta Koufos
Bird Rights,"$17,653,847",Fred VanVleet,"$8,653,847","$9,000,000",,,,,Fred VanVleet
,"$8,653,847",Jerami Grant,"$8,653,847","$9,346,153","$9,346,153",,,,Jerami Grant
MLE,"$37,156,300",Kyle Anderson,"$8,641,000","$9,073,050","$9,505,100","$9,937,150",,,Kyle Anderson
MLE,"$8,641,000",Julius Randle,"$8,641,000",,,,,,Julius Randle
,"$8,600,000",Markieff Morris,"$8,600,000",,,,,,Markieff Morris
Cap Space,"$8,575,916",Jerryd Bayless,"$8,575,916",,,,,,Jerryd Bayless
Cap space,"$24,156,500",Cristiano Felício,"$8,470,980","$8,156,500","$7,529,020",,,,Cristiano Felício
1st Round Pick,"$18,085,080",Markelle Fultz,"$8,339,880","$9,745,200","$12,288,697",,,,Markelle Fultz
Early Bird Rights,"$16,003,333",Joe Harris,"$8,333,333","$7,670,000",,,,,Joe Harris
MLE,"$8,333,333",C.J. Miles,"$8,333,333","$8,730,158",,,,,C.J. Miles
Bird Rights,"$10,974,358",Shaun Livingston,"$8,307,692","$666,667","$666,667","$666,666",,,Shaun Livingston
1st Round Pick,"$17,728,080",Deandre Ayton,"$8,165,160","$9,562,920","$10,018,200","$12,632,950",,,Deandre Ayton
Cap Space,"$24,000,000",Lou Williams,"$8,000,000","$8,000,000","$8,000,000",,,,Lou Williams
Cap Space,"$8,000,000",Garrett Temple,"$8,000,000",,,,,,Garrett Temple
MLE,"$18,887,764",P.J. Tucker,"$7,969,537","$8,349,039","$7,969,537",,,,P.J. Tucker
,,,,,,,,,
,,,,,,,,,
