name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Shawn Bradley,C,30,Shawn Bradley,81,39,1731,6.0,11.2,.536,0.0,0.0,.000,6.0,11.2,.537,4.2,5.2,.806,4.5,9.7,14.3,1.6,1.9,5.1,2.0,7.3,16.3,121
Elton Brand,PF,23,Elton Brand,62,61,2454,9.7,19.3,.502,0.0,0.0,.000,9.7,19.2,.502,5.2,7.6,.685,6.1,9.0,15.1,3.4,1.5,3.4,3.4,4.4,24.5,109
J.R. Bremer,PG,22,J.R. Bremer,64,41,1503,6.0,16.3,.369,3.5,10.1,.353,2.5,6.3,.393,3.0,3.9,.766,0.6,4.5,5.1,5.8,1.3,0.1,2.1,2.8,18.6,106
Jamison Brewer,PG,22,Jamison Brewer,10,0,80,5.9,11.1,.529,0.0,1.3,.000,5.9,9.8,.600,2.6,5.9,.444,3.3,2.6,5.9,11.8,1.3,0.7,3.9,7.2,14.4,108
Primož Brezec,C,23,Primož Brezec,22,1,111,7.1,17.9,.395,0.0,0.5,.000,7.1,17.5,.405,5.7,9.4,.600,6.1,4.7,10.9,1.9,0.9,1.9,3.3,7.6,19.8,95
Damone Brown,PF,23,Damone Brown,5,3,115,5.1,16.3,.314,0.0,0.9,.000,5.1,15.3,.333,2.8,3.7,.750,1.4,5.6,7.0,1.4,0.5,0.0,2.8,6.5,13.0,74
Devin Brown,SG,24,Devin Brown,10,2,93,6.8,19.9,.343,0.0,0.6,.000,6.8,19.3,.353,3.4,4.5,.750,4.5,5.7,10.2,4.0,2.3,0.6,5.1,8.0,17.1,80
Devin Brown,SG,24,Devin Brown,7,0,22,12.1,24.2,.500,0.0,0.0,,12.1,24.2,.500,4.8,4.8,1.000,9.7,7.3,17.0,4.8,0.0,0.0,12.1,7.3,29.1,89
Devin Brown,SG,24,Devin Brown,3,2,71,5.2,18.6,.280,0.0,0.7,.000,5.2,17.8,.292,3.0,4.5,.667,3.0,5.2,8.2,3.7,3.0,0.7,3.0,8.2,13.4,75
Kedrick Brown,SF,21,Kedrick Brown,51,5,666,4.8,13.6,.357,0.2,3.1,.077,4.6,10.5,.439,1.6,2.5,.625,3.6,7.5,11.1,1.6,2.7,1.0,1.8,5.4,11.5,86
Kwame Brown,C,20,Kwame Brown,80,20,1773,6.9,15.4,.446,0.0,0.1,.000,6.9,15.3,.449,4.5,6.7,.668,3.9,9.2,13.1,1.8,1.5,2.5,3.4,4.9,18.2,96
P.J. Brown,PF,33,P.J. Brown,78,78,2609,6.6,12.4,.531,0.0,0.1,.000,6.6,12.3,.533,4.0,4.8,.836,5.0,9.4,14.4,3.0,1.4,1.6,2.0,4.2,17.1,122
Randy Brown,PG,34,Randy Brown,32,0,262,3.2,8.6,.372,0.0,0.0,,3.2,8.6,.372,1.8,2.4,.750,0.6,4.6,5.2,7.0,3.4,0.4,3.4,7.2,8.2,86
Tierre Brown,PG,23,Tierre Brown,15,0,168,8.2,17.9,.458,0.0,0.3,.000,8.2,17.6,.466,3.3,4.3,.786,2.4,6.7,9.1,11.9,4.0,0.0,6.7,2.7,19.8,94
Rick Brunson,PG,30,Rick Brunson,17,0,196,6.0,13.1,.460,1.0,1.6,.667,5.0,11.5,.432,2.6,3.1,.833,1.0,3.9,5.0,9.4,2.6,0.8,4.5,5.2,15.7,102
Kobe Bryant,SG,24,Kobe Bryant,82,82,3401,13.2,29.4,.451,1.9,4.9,.383,11.4,24.4,.465,9.2,10.9,.843,1.6,7.0,8.6,7.3,2.8,1.0,4.4,3.3,37.6,111
Mark Bryant,PF,37,Mark Bryant,16,0,100,2.6,10.0,.263,0.0,0.0,,2.6,10.0,.263,1.6,2.1,.750,4.2,6.3,10.5,2.1,0.5,0.5,3.7,9.5,6.8,69
Mark Bryant,PF,37,Mark Bryant,11,0,77,3.4,11.6,.294,0.0,0.0,,3.4,11.6,.294,1.4,1.4,1.000,4.8,6.1,10.9,0.7,0.7,0.7,3.4,8.2,8.2,73
Mark Bryant,PF,37,Mark Bryant,3,0,14,0.0,3.8,.000,0.0,0.0,,0.0,3.8,.000,3.8,7.5,.500,3.8,3.8,7.5,7.5,0.0,0.0,7.5,15.1,3.8,55
Mark Bryant,PF,37,Mark Bryant,2,0,9,0.0,5.9,.000,0.0,0.0,,0.0,5.9,.000,0.0,0.0,,0.0,11.7,11.7,5.9,0.0,0.0,0.0,11.7,0.0,51
Greg Buckner,SG,26,Greg Buckner,75,5,1514,6.4,13.8,.465,0.5,1.9,.273,5.9,11.9,.496,2.3,2.8,.802,2.5,5.0,7.5,3.3,2.5,0.6,2.1,7.0,15.6,106
Pat Burke,C,29,Pat Burke,62,8,783,7.4,19.5,.382,0.1,0.5,.143,7.4,19.0,.388,2.6,3.8,.690,3.8,5.9,9.6,1.5,1.3,1.6,3.1,6.5,17.6,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caron Butler,SF,22,Caron Butler,78,78,2858,8.2,19.7,.416,0.7,2.0,.318,7.6,17.7,.427,5.9,7.2,.824,2.6,5.0,7.6,4.1,2.6,0.6,3.7,4.4,23.0,99
Rasual Butler,SG,23,Rasual Butler,72,28,1514,7.5,20.6,.362,1.8,6.2,.292,5.7,14.5,.392,2.7,3.8,.731,1.0,5.7,6.7,3.4,0.8,1.6,2.8,3.8,19.5,88
Jason Caffey,PF,29,Jason Caffey,51,16,894,6.7,14.7,.456,0.0,0.0,,6.7,14.7,.456,4.1,6.3,.651,4.0,6.4,10.5,2.3,1.1,0.9,3.3,7.2,17.5,98
Marcus Camby,C,28,Marcus Camby,29,9,616,8.0,19.4,.410,0.2,0.4,.400,7.8,19.0,.410,2.8,4.3,.660,6.4,11.4,17.8,4.0,1.7,3.4,2.3,5.9,18.9,99
Elden Campbell,C,34,Elden Campbell,56,1,869,7.3,18.3,.397,0.0,0.1,.000,7.3,18.2,.398,6.8,8.4,.801,2.9,8.3,11.2,3.2,2.0,2.4,3.1,8.0,21.3,100
Elden Campbell,C,34,Elden Campbell,41,1,685,7.9,19.4,.409,0.0,0.1,.000,7.9,19.3,.411,7.3,9.0,.809,2.7,8.5,11.1,3.3,1.9,2.4,3.3,8.0,23.1,102
Elden Campbell,C,34,Elden Campbell,15,0,184,4.7,14.2,.333,0.0,0.0,,4.7,14.2,.333,4.7,6.2,.762,3.9,7.7,11.6,2.7,2.7,2.4,2.4,8.0,14.2,93
Brian Cardinal,PF,25,Brian Cardinal,5,0,15,3.6,14.5,.250,0.0,3.6,.000,3.6,10.9,.333,7.3,7.3,1.000,10.9,7.3,18.1,3.6,0.0,0.0,3.6,0.0,14.5,100
Anthony Carter,PG,27,Anthony Carter,49,26,912,5.0,14.0,.356,0.0,0.5,.000,5.0,13.5,.369,2.0,3.0,.660,0.7,4.3,5.0,12.2,2.7,0.3,4.9,4.2,11.9,84
Vince Carter,SG,26,Vince Carter,43,42,1471,12.9,27.6,.467,1.6,4.8,.344,11.3,22.8,.493,4.7,5.8,.806,2.1,4.7,6.8,5.2,1.7,1.5,2.7,4.4,32.1,109
Sam Cassell,PG,33,Sam Cassell,78,77,2700,10.7,22.9,.470,1.2,3.2,.362,9.6,19.6,.487,7.6,8.8,.861,1.1,5.6,6.7,8.9,1.7,0.3,3.5,4.2,30.2,115
