Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Brian Roberts,Hornets,2014-2015,REG,72,0.487,0.393,0.433,0.326,0.000,16.81,12.39,28.10,42.04,0.66,18.05,16.70,18.91
Henry Sims,76ers,2014-2015,REG,73,0.558,0.404,0.436,0.200,0.000,46.88,20.93,28.17,4.02,0.00,9.74,8.35,11.02
Chris Johnson,"76ers, Jazz, Bucks",2014-2015,REG,28,0.609,0.400,0.333,0.293,0.000,30.87,3.36,4.03,61.74,0.00,16.48,12.51,19.08
Justin Holiday,Warriors,2014-2015,REG,59,0.484,0.529,0.356,0.324,0.000,27.23,7.23,19.15,45.96,0.43,16.71,14.45,18.15
JaMychal Green,"Spurs, Grizzlies",2014-2015,REG,22,0.786,1.000,0.300,0.000,0.000,62.22,2.22,22.22,13.33,0.00,8.11,3.38,14.58
JaMychal Green,"Spurs, Grizzlies",2014-2015,REG,2,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jorge Gutierrez,"Nets, Bucks",2014-2015,REG,20,0.636,0.667,0.462,0.000,0.000,53.66,7.32,31.71,7.32,0.00,9.80,7.73,12.21
Quincy Miller,Kings,2014-2015,REG,2,0.000,0.000,0.000,0.000,0.000,0.00,0.00,50.00,50.00,0.00,21.33,0.00,21.33
Toure Murry,"Jazz, Wizards",2014-2015,REG,5,0.667,0.000,0.000,0.000,0.000,60.00,0.00,40.00,0.00,0.00,9.20,0.50,15.00
Glen Rice Jr.,Wizards,2014-2015,REG,5,0.400,0.000,0.000,0.143,0.000,33.33,13.33,6.67,46.67,0.00,14.67,7.67,16.42
Aron Baynes,Spurs,2014-2015,REG,70,0.605,0.419,0.458,0.250,0.000,78.29,13.15,7.34,1.22,0.00,4.64,3.72,5.83
Nerlens Noel,76ers,2014-2015,REG,75,0.531,0.259,0.273,0.000,0.000,74.43,17.15,8.42,0.00,0.00,5.08,3.26,6.65
Alex Len,Suns,2014-2015,REG,69,0.602,0.279,0.341,0.500,0.000,68.27,19.26,11.61,0.57,0.28,5.76,3.62,7.95
Allen Crabbe,Trail Blazers,2014-2015,REG,51,0.800,0.111,0.167,0.353,0.000,22.88,5.88,15.69,55.56,0.00,17.46,13.27,20.39
Andre Roberson,Thunder,2014-2015,REG,67,0.625,0.500,0.000,0.253,0.000,56.00,1.00,0.50,41.50,1.00,11.01,5.97,15.31
Anthony Bennett,Timberwolves,2014-2015,REG,57,0.606,0.231,0.331,0.318,0.000,36.82,8.78,46.96,7.43,0.00,12.24,9.20,14.46
