Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Charlie Villanueva,Pistons,2013-2014,REG,20,56.52,8.70,13.04,17.39,1.09,3.26,0.00,0.269,0.500,0.333,0.813,0.000,0.000,0.000
Martell Webster,Wizards,2013-2014,REG,78,39.76,17.06,4.61,15.02,9.39,13.31,0.85,0.378,0.410,0.370,0.648,0.509,0.385,0.000
Raymond Felton,Knicks,2013-2014,REG,65,25.82,26.64,13.82,27.47,3.13,2.80,0.33,0.293,0.395,0.345,0.509,0.316,0.588,0.000
Chris Paul,Clippers,2013-2014,REG,62,21.84,39.54,20.80,15.29,1.38,1.03,0.11,0.363,0.448,0.486,0.647,0.583,0.222,0.000
Marvin Williams,Jazz,2013-2014,REG,66,33.27,21.67,11.79,22.05,3.23,7.22,0.76,0.371,0.377,0.339,0.716,0.294,0.368,0.000
Andrew Bogut,Warriors,2013-2014,REG,67,0.00,2.67,24.27,73.07,0.00,0.00,0.00,0.000,0.500,0.451,0.690,0.000,0.000,0.000
Trevor Ariza,Wizards,2013-2014,REG,77,30.16,15.73,4.34,28.17,12.09,9.04,0.47,0.381,0.388,0.189,0.625,0.456,0.442,0.250
Royal Ivey,Thunder,2013-2014,REG,2,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Anderson Varejao,Cavaliers,2013-2014,REG,65,1.09,34.64,21.79,42.05,0.00,0.22,0.22,0.000,0.472,0.460,0.549,0.000,0.000,0.000
Beno Udrih,"Knicks, Grizzlies",2013-2014,REG,41,15.17,43.26,12.36,20.79,5.62,2.81,0.00,0.407,0.390,0.364,0.568,0.500,0.600,0.000
Sasha Vujacic,Clippers,2013-2014,REG,2,20.00,40.00,20.00,0.00,0.00,20.00,0.00,1.000,0.500,0.000,0.000,0.000,0.000,0.000
Kevin Martin,Timberwolves,2013-2014,REG,68,22.14,35.46,13.52,22.04,0.69,6.17,0.00,0.389,0.359,0.420,0.609,0.429,0.365,0.000
Tony Allen,Grizzlies,2013-2014,REG,55,3.63,19.13,8.96,60.53,4.36,2.66,0.73,0.133,0.304,0.297,0.632,0.389,0.182,0.000
Jameer Nelson,Magic,2013-2014,REG,68,47.59,16.76,9.79,21.18,1.47,3.22,0.00,0.355,0.312,0.384,0.576,0.455,0.167,0.000
Dorell Wright,Trail Blazers,2013-2014,REG,68,35.69,13.80,5.72,12.12,8.08,24.58,0.00,0.311,0.366,0.294,0.611,0.292,0.397,0.000
J.R. Smith,Knicks,2013-2014,REG,74,42.72,30.05,6.60,13.09,1.57,4.92,1.05,0.397,0.380,0.397,0.584,0.467,0.426,0.000
Josh Smith,Pistons,2013-2014,REG,77,18.09,29.12,21.09,28.30,1.87,1.54,0.00,0.265,0.348,0.342,0.668,0.304,0.211,0.000
Al Jefferson,Bobcats,2013-2014,REG,73,0.73,39.10,27.33,32.49,0.00,0.07,0.29,0.300,0.381,0.513,0.669,0.000,0.000,0.000
Kris Humphries,Celtics,2013-2014,REG,69,0.22,55.41,13.64,30.30,0.22,0.00,0.22,0.000,0.453,0.460,0.614,0.000,0.000,0.000
Andris Biedrins,Jazz,2013-2014,REG,6,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Andre Iguodala,Warriors,2013-2014,REG,63,22.49,18.34,11.35,32.10,8.73,6.77,0.22,0.340,0.405,0.404,0.701,0.400,0.355,0.000
Luol Deng,"Bulls, Cavaliers",2013-2014,REG,63,14.65,32.91,14.53,30.58,3.49,3.60,0.23,0.286,0.389,0.344,0.612,0.333,0.323,0.500
Josh Childress,Pelicans,2013-2014,REG,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Devin Harris,Mavericks,2013-2014,REG,40,35.43,14.96,14.17,31.10,2.36,1.18,0.79,0.322,0.368,0.250,0.532,0.333,0.000,0.000
Shaun Livingston,Nets,2013-2014,REG,76,0.41,27.72,29.98,41.07,0.62,0.21,0.00,0.000,0.400,0.493,0.540,0.333,0.000,0.000
Ben Gordon,Bobcats,2013-2014,REG,19,20.56,42.99,9.35,21.50,0.00,5.61,0.00,0.318,0.283,0.400,0.522,0.000,0.167,0.000
Dwight Howard,Rockets,2013-2014,REG,71,0.12,4.49,26.72,67.92,0.25,0.25,0.25,0.000,0.139,0.439,0.684,1.000,0.000,0.000
Josh Powell,Rockets,2013-2014,REG,1,0.00,83.33,0.00,16.67,0.00,0.00,0.00,0.000,0.400,0.000,0.000,0.000,0.000,0.000
Udonis Haslem,Heat,2013-2014,REG,46,0.00,44.52,2.74,52.74,0.00,0.00,0.00,0.000,0.385,0.250,0.623,0.000,0.000,0.000
Kyle Korver,Hawks,2013-2014,REG,71,42.86,28.74,4.11,2.79,10.18,11.33,0.00,0.444,0.474,0.440,0.588,0.516,0.536,0.000
James Jones,Heat,2013-2014,REG,20,33.82,14.71,0.00,5.88,29.41,16.18,0.00,0.348,0.100,0.000,0.500,0.700,0.545,0.000
Mo Williams,Trail Blazers,2013-2014,REG,74,25.74,39.73,15.33,11.46,4.02,3.42,0.30,0.370,0.423,0.437,0.506,0.370,0.391,0.000
Matt Bonner,Spurs,2013-2014,REG,61,47.85,15.34,20.25,4.91,7.98,3.68,0.00,0.397,0.480,0.424,0.625,0.615,0.500,0.000
Keith Bogans,Celtics,2013-2014,REG,6,33.33,0.00,0.00,0.00,0.00,66.67,0.00,1.000,0.000,0.000,0.000,0.000,0.250,0.000
Zaza Pachulia,Bucks,2013-2014,REG,53,0.29,27.79,15.76,56.16,0.00,0.00,0.00,0.000,0.402,0.255,0.490,0.000,0.000,0.000
Willie Green,Clippers,2013-2014,REG,55,24.07,31.48,10.37,13.70,11.48,8.89,0.00,0.277,0.318,0.357,0.649,0.516,0.292,0.000
Steve Blake,"Lakers, Warriors",2013-2014,REG,55,41.08,28.90,3.40,8.22,7.93,9.63,0.85,0.372,0.333,0.250,0.586,0.321,0.471,0.000
Leandro Barbosa,Suns,2013-2014,REG,20,14.50,21.37,9.16,50.38,0.76,3.82,0.00,0.368,0.286,0.250,0.576,0.000,0.000,0.000
Kendrick Perkins,Thunder,2013-2014,REG,62,0.52,16.06,33.68,49.74,0.00,0.00,0.00,0.000,0.452,0.431,0.469,0.000,0.000,0.000
Travis Outlaw,Kings,2013-2014,REG,63,26.38,40.49,11.66,11.96,3.07,6.44,0.00,0.349,0.386,0.421,0.564,0.500,0.286,0.000
Boris Diaw,Spurs,2013-2014,REG,79,15.34,21.38,22.59,36.72,1.90,1.72,0.34,0.427,0.419,0.481,0.667,0.273,0.400,0.000
David West,Pacers,2013-2014,REG,80,0.96,44.94,28.01,25.45,0.21,0.43,0.00,0.444,0.469,0.433,0.594,0.000,0.000,0.000
Luke Ridnour,"Bucks, Bobcats",2013-2014,REG,61,20.80,47.09,9.48,10.40,6.42,5.81,0.00,0.294,0.396,0.387,0.471,0.476,0.368,0.000
Nick Collison,Thunder,2013-2014,REG,81,0.42,23.33,9.17,60.83,2.50,3.75,0.00,1.000,0.411,0.636,0.637,0.333,0.111,0.000
Kirk Hinrich,Bulls,2013-2014,REG,73,29.08,35.54,9.53,15.83,4.04,5.82,0.16,0.328,0.405,0.356,0.490,0.360,0.472,0.000
Chris Kaman,Lakers,2013-2014,REG,39,0.87,39.02,26.30,33.82,0.00,0.00,0.00,0.000,0.474,0.363,0.675,0.000,0.000,0.000
Dwyane Wade,Heat,2013-2014,REG,54,3.03,38.03,19.21,38.55,0.53,0.66,0.00,0.174,0.429,0.548,0.689,1.000,0.200,0.000
Chris Bosh,Heat,2013-2014,REG,79,17.21,36.83,9.65,30.64,3.46,2.20,0.00,0.335,0.484,0.457,0.705,0.273,0.476,0.000
Carmelo Anthony,Knicks,2013-2014,REG,77,22.88,46.62,6.88,21.24,0.30,1.77,0.30,0.410,0.443,0.416,0.544,0.600,0.345,0.000
LeBron James,Heat,2013-2014,REG,77,19.29,24.17,10.27,42.94,1.85,1.48,0.00,0.349,0.385,0.504,0.783,0.520,0.600,0.000
Reggie Evans,"Nets, Kings",2013-2014,REG,54,0.00,4.67,24.00,71.33,0.00,0.00,0.00,0.000,0.000,0.306,0.561,0.000,0.000,0.000
Jannero Pargo,Bobcats,2013-2014,REG,29,41.53,43.22,1.69,4.24,5.93,2.54,0.85,0.367,0.510,1.000,0.000,0.714,0.333,0.000
