Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
James Michael McAdoo,Warriors,2016-2017,REG,52,5.13,17.95,10.26,64.96,0.85,0.85,0.00,0.167,0.333,0.250,0.658,1.000,0.000,0.000
Jarnell Stokes,Nuggets,2016-2017,REG,2,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Andrew Wiggins,Timberwolves,2016-2017,REG,82,16.37,37.45,12.17,31.97,0.70,1.27,0.06,0.358,0.379,0.377,0.620,0.455,0.300,0.000
Jabari Parker,Bucks,2016-2017,REG,51,14.51,21.65,11.56,45.02,3.57,3.32,0.37,0.347,0.375,0.298,0.656,0.448,0.407,0.000
Joel Embiid,76ers,2016-2017,REG,31,22.38,24.24,15.38,37.53,0.00,0.47,0.00,0.375,0.413,0.364,0.602,0.000,0.000,0.000
Dante Exum,Jazz,2016-2017,REG,66,19.28,4.96,7.99,46.01,10.74,10.47,0.55,0.357,0.389,0.414,0.551,0.256,0.237,0.000
Josh Huestis,Thunder,2016-2017,REG,2,27.27,18.18,9.09,36.36,9.09,0.00,0.00,0.333,0.500,0.000,0.750,1.000,0.000,0.000
Dario Saric,76ers,2016-2017,REG,81,33.48,19.01,12.53,31.75,1.40,1.84,0.00,0.306,0.295,0.517,0.554,0.462,0.235,0.000
Clint Capela,Rockets,2016-2017,REG,65,0.00,1.07,14.21,84.72,0.00,0.00,0.00,0.000,0.333,0.350,0.696,0.000,0.000,0.000
Jusuf Nurkic,"Nuggets, Trail Blazers",2016-2017,REG,65,0.19,10.86,19.10,69.85,0.00,0.00,0.00,0.000,0.310,0.441,0.558,0.000,0.000,0.000
Bruno Caboclo,Raptors,2016-2017,REG,9,18.75,18.75,12.50,31.25,0.00,18.75,0.00,0.667,0.667,0.000,0.400,0.000,0.000,0.000
Nikola Jokic,Nuggets,2016-2017,REG,73,14.99,18.97,23.07,41.69,0.59,0.59,0.12,0.344,0.519,0.650,0.666,0.000,0.200,0.000
Kristaps Porzingis,Knicks,2016-2017,REG,66,28.22,28.63,16.95,22.54,1.93,1.73,0.00,0.345,0.418,0.371,0.680,0.579,0.294,0.000
Edy Tavares,"Hawks, Cavaliers",2016-2017,REG,2,0.00,0.00,60.00,40.00,0.00,0.00,0.00,0.000,0.000,0.667,1.000,0.000,0.000,0.000
Damjan Rudez,Magic,2016-2017,REG,45,60.23,21.59,1.14,4.55,2.27,10.23,0.00,0.358,0.421,0.000,0.750,0.000,0.111,0.000
Tyler Johnson,Heat,2016-2017,REG,73,23.48,25.79,15.82,28.22,3.65,2.92,0.12,0.368,0.368,0.392,0.582,0.433,0.333,0.000
Tim Frazier,Pelicans,2016-2017,REG,65,28.96,20.79,14.11,33.42,1.49,1.24,0.00,0.325,0.357,0.316,0.556,0.167,0.200,0.000
Tarik Black,Lakers,2016-2017,REG,67,0.34,4.76,19.05,75.51,0.00,0.00,0.34,1.000,0.214,0.339,0.572,0.000,0.000,0.000
Langston Galloway,"Pelicans, Kings",2016-2017,REG,74,47.24,27.94,5.33,10.29,4.60,4.23,0.37,0.393,0.355,0.241,0.464,0.320,0.435,0.000
Joe Ingles,Jazz,2016-2017,REG,82,39.25,11.97,4.88,21.29,10.64,11.75,0.22,0.452,0.259,0.136,0.667,0.479,0.377,0.000
Jarell Eddie,Suns,2016-2017,REG,5,63.16,5.26,0.00,10.53,10.53,10.53,0.00,0.250,0.000,0.000,1.000,0.000,0.500,0.000
TJ McConnell,76ers,2016-2017,REG,81,8.24,24.12,28.04,37.45,0.78,0.98,0.39,0.190,0.398,0.434,0.597,0.250,0.200,0.000
Jahlil Okafor,76ers,2016-2017,REG,50,0.00,15.71,36.73,47.56,0.00,0.00,0.00,0.000,0.324,0.399,0.665,0.000,0.000,0.000
Emmanuel Mudiay,Nuggets,2016-2017,REG,55,25.05,16.15,13.07,38.48,3.09,3.99,0.18,0.326,0.303,0.292,0.491,0.353,0.227,0.000
Tyus Jones,Timberwolves,2016-2017,REG,60,27.07,18.23,17.68,23.76,7.18,5.52,0.55,0.367,0.333,0.500,0.512,0.385,0.300,0.000
Justin Anderson,"Mavericks, 76ers",2016-2017,REG,75,33.49,9.34,11.62,34.85,4.56,5.69,0.46,0.293,0.122,0.392,0.673,0.400,0.280,0.000
Anthony Brown,"Pelicans, Magic",2016-2017,REG,11,44.00,22.00,6.00,18.00,2.00,8.00,0.00,0.227,0.455,0.333,0.556,1.000,0.250,0.000
Montrezl Harrell,Rockets,2016-2017,REG,58,0.58,9.30,13.95,75.00,0.29,0.87,0.00,0.000,0.344,0.458,0.740,0.000,0.333,0.000
Andrew Harrison,Grizzlies,2016-2017,REG,72,36.11,17.22,9.44,30.00,1.94,3.89,1.39,0.262,0.258,0.265,0.454,0.286,0.500,0.000
Aaron Harrison,Hornets,2016-2017,REG,5,25.00,50.00,0.00,0.00,25.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Delon Wright,Raptors,2016-2017,REG,27,19.83,10.34,17.24,46.55,1.72,4.31,0.00,0.348,0.083,0.400,0.556,0.500,0.200,0.000
RJ Hunter,Bulls,2016-2017,REG,3,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sam Dekker,Rockets,2016-2017,REG,77,26.81,3.26,7.23,45.92,6.06,10.02,0.70,0.287,0.500,0.323,0.640,0.500,0.326,0.000
D'Angelo Russell,Lakers,2016-2017,REG,63,37.92,24.05,14.45,17.34,2.54,3.35,0.35,0.341,0.389,0.472,0.507,0.409,0.483,0.000
Karl-Anthony Towns,Timberwolves,2016-2017,REG,82,14.47,19.20,20.89,41.38,1.96,1.89,0.20,0.360,0.437,0.518,0.681,0.310,0.536,0.000
Richaun Holmes,76ers,2016-2017,REG,57,14.56,13.59,16.75,50.97,1.46,2.43,0.24,0.333,0.411,0.435,0.714,0.167,0.600,0.000
Justise Winslow,Heat,2016-2017,REG,18,5.36,24.55,23.21,37.05,5.36,4.46,0.00,0.083,0.273,0.365,0.470,0.250,0.300,0.000
Willie Cauley-Stein,Kings,2016-2017,REG,75,0.42,18.50,28.27,52.81,0.00,0.00,0.00,0.000,0.337,0.390,0.677,0.000,0.000,0.000
Kelly Oubre,Wizards,2016-2017,REG,79,23.36,14.51,7.48,35.60,10.20,8.62,0.23,0.379,0.406,0.333,0.605,0.222,0.132,0.000
Frank Kaminsky,Hornets,2016-2017,REG,75,38.40,10.85,20.82,24.19,1.37,3.74,0.62,0.331,0.322,0.383,0.577,0.273,0.367,0.000
Devin Booker,Suns,2016-2017,REG,78,24.04,35.78,13.63,22.29,2.03,2.10,0.14,0.358,0.387,0.426,0.558,0.586,0.233,0.000
Cameron Payne,"Thunder, Bulls",2016-2017,REG,31,39.38,27.98,13.47,13.99,2.59,2.07,0.52,0.303,0.315,0.423,0.333,0.600,0.250,0.000
Myles Turner,Pacers,2016-2017,REG,81,11.51,38.78,13.92,34.06,0.69,0.92,0.12,0.380,0.430,0.388,0.716,0.167,0.125,0.000
Trey Lyles,Jazz,2016-2017,REG,71,32.19,16.67,14.38,22.60,5.48,8.45,0.23,0.305,0.288,0.365,0.505,0.375,0.351,0.000
Stanley Johnson,Pistons,2016-2017,REG,77,30.77,28.57,14.01,15.38,7.14,3.57,0.55,0.268,0.365,0.275,0.571,0.346,0.385,0.000
Jerian Grant,Bulls,2016-2017,REG,63,33.22,25.91,9.97,19.60,6.98,3.99,0.33,0.340,0.372,0.500,0.593,0.429,0.500,0.000
Bobby Portis,Bulls,2016-2017,REG,64,13.60,31.47,13.33,29.60,5.07,6.67,0.27,0.314,0.441,0.480,0.676,0.474,0.280,0.000
Kevon Looney,Warriors,2016-2017,REG,53,8.41,8.41,10.28,72.90,0.00,0.00,0.00,0.222,0.000,0.273,0.654,0.000,0.000,0.000
Rashad Vaughn,Bucks,2016-2017,REG,41,39.10,17.95,11.54,18.59,7.05,5.77,0.00,0.311,0.393,0.167,0.586,0.364,0.333,0.000
Christian Wood,Hornets,2016-2017,REG,13,17.39,4.35,0.00,73.91,0.00,4.35,0.00,0.000,0.000,0.000,0.706,0.000,0.000,0.000
Jordan Mickey,Celtics,2016-2017,REG,25,0.00,14.71,14.71,67.65,0.00,2.94,0.00,0.000,0.400,0.200,0.522,0.000,0.000,0.000
