Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Buck Williams,Knicks,1997-1998,REG,41,0.00,16.11,20.13,63.76,0.00,0.00,0.00,0.000,0.417,0.333,0.579,0.000,0.000,0.000
Pete Chilcutt,Grizzlies,1997-1998,REG,82,32.59,41.78,3.62,18.11,2.51,1.39,0.00,0.427,0.427,0.077,0.569,0.222,0.400,0.000
Shawn Kemp,Cavaliers,1997-1998,REG,80,0.52,37.03,16.15,46.13,0.00,0.00,0.17,0.333,0.367,0.277,0.570,0.000,0.000,0.000
Sherman Douglas,Nets,1997-1998,REG,80,8.54,33.40,14.56,43.11,0.19,0.00,0.19,0.318,0.378,0.387,0.662,0.000,0.000,0.000
Terry Davis,Wizards,1997-1998,REG,74,0.00,14.84,14.06,70.70,0.39,0.00,0.00,0.000,0.342,0.333,0.564,0.000,0.000,0.000
Chris Gatling,Nets,1997-1998,REG,57,0.18,37.06,22.20,40.00,0.55,0.00,0.00,0.000,0.441,0.264,0.578,0.333,0.000,0.000
Avery Johnson,Spurs,1997-1998,REG,75,1.64,30.55,16.84,50.67,0.15,0.00,0.15,0.182,0.385,0.354,0.588,0.000,0.000,0.000
Jayson Williams,Nets,1997-1998,REG,65,0.16,14.26,13.80,71.32,0.00,0.00,0.47,0.000,0.413,0.382,0.541,0.000,0.000,0.000
Scott Brooks,Cavaliers,1997-1998,REG,42,16.67,43.94,25.76,13.64,0.00,0.00,0.00,0.455,0.483,0.353,0.333,0.000,0.000,0.000
Sam Mitchell,Timberwolves,1997-1998,REG,81,2.75,60.88,13.50,20.38,0.88,1.63,0.00,0.182,0.456,0.343,0.601,0.143,0.692,0.000
Willie Burton,Spurs,1997-1998,REG,12,28.57,23.81,9.52,23.81,14.29,0.00,0.00,0.333,0.200,0.500,0.600,0.333,0.000,0.000
Sharone Wright,Raptors,1997-1998,REG,6,0.00,21.43,28.57,50.00,0.00,0.00,0.00,0.000,0.333,0.250,0.714,0.000,0.000,0.000
Shaquille O'Neal,Lakers,1997-1998,REG,60,0.00,12.21,31.04,56.76,0.00,0.00,0.00,0.000,0.329,0.466,0.704,0.000,0.000,0.000
Derek Strong,Magic,1997-1998,REG,58,0.49,47.25,8.25,43.85,0.00,0.00,0.16,0.000,0.356,0.196,0.539,0.000,0.000,0.000
Sean Rooks,Lakers,1997-1998,REG,41,0.00,14.85,29.70,55.45,0.00,0.00,0.00,0.000,0.333,0.367,0.536,0.000,0.000,0.000
Reggie Miller,Pacers,1997-1998,REG,81,25.99,46.53,3.52,14.62,2.31,6.57,0.46,0.445,0.433,0.316,0.772,0.440,0.394,0.000
Rod Strickland,Wizards,1997-1998,REG,76,3.81,36.81,20.44,38.58,0.18,0.09,0.09,0.256,0.385,0.333,0.553,0.500,0.000,0.000
Toni Kukoc,Bulls,1997-1998,REG,74,17.50,40.48,9.17,29.64,1.67,1.31,0.24,0.374,0.362,0.403,0.663,0.286,0.364,0.000
Elliot Perry,Bucks,1997-1998,REG,81,8.38,69.88,9.09,11.94,0.53,0.18,0.00,0.340,0.421,0.412,0.567,0.000,1.000,0.000
Calbert Cheaney,Wizards,1997-1998,REG,82,3.87,55.15,16.51,22.94,1.12,0.41,0.00,0.237,0.394,0.401,0.693,0.364,0.250,0.000
Kendall Gill,Nets,1997-1998,REG,81,8.32,47.02,8.11,34.60,0.82,1.03,0.10,0.296,0.376,0.253,0.593,0.125,0.100,0.000
James Robinson,Clippers,1997-1998,REG,70,37.52,25.35,9.58,20.36,2.79,4.39,0.00,0.303,0.346,0.208,0.667,0.500,0.409,0.000
Tony Smith,Bucks,1997-1998,REG,6,16.67,50.00,16.67,16.67,0.00,0.00,0.00,0.000,0.417,0.500,0.250,0.000,0.000,0.000
Eric Montross,"76ers, Pistons",1997-1998,REG,48,0.00,24.31,20.14,55.56,0.00,0.00,0.00,0.000,0.257,0.172,0.588,0.000,0.000,0.000
Isaiah Rider,Trail Blazers,1997-1998,REG,74,26.04,38.71,13.67,18.28,1.23,2.07,0.00,0.324,0.427,0.376,0.626,0.250,0.222,0.000
Terry Mills,Heat,1997-1998,REG,50,31.55,36.41,12.14,13.11,3.40,3.40,0.00,0.323,0.453,0.400,0.519,0.286,0.000,0.000
Charlie Ward,Knicks,1997-1998,REG,82,36.24,16.28,6.20,35.85,3.68,1.36,0.39,0.369,0.357,0.375,0.605,0.421,0.571,0.000
Derrick McKey,Pacers,1997-1998,REG,57,4.28,43.73,21.41,29.66,0.00,0.92,0.00,0.286,0.392,0.414,0.629,0.000,0.000,0.000
Rex Chapman,Suns,1997-1998,REG,68,24.16,43.31,10.15,14.64,2.93,4.71,0.10,0.385,0.425,0.443,0.500,0.321,0.467,0.000
Christian Laettner,Hawks,1997-1998,REG,74,3.15,42.05,11.78,42.47,0.27,0.27,0.00,0.261,0.433,0.372,0.590,0.000,0.000,0.000
Clifford Robinson,Suns,1997-1998,REG,80,7.71,26.26,26.37,38.21,1.23,0.22,0.00,0.319,0.345,0.436,0.640,0.273,0.500,0.000
Chucky Brown,Hawks,1997-1998,REG,77,2.15,51.08,19.89,26.88,0.00,0.00,0.00,0.250,0.384,0.311,0.630,0.000,0.000,0.000
Anfernee Hardaway,Magic,1997-1998,REG,19,16.48,38.10,13.55,30.40,0.37,0.37,0.73,0.333,0.298,0.243,0.578,0.000,0.000,0.000
Chris Morris,"Jazz, Magic",1997-1998,REG,54,23.19,15.94,10.63,43.48,2.90,2.90,0.97,0.313,0.364,0.318,0.522,0.333,0.333,0.000
Vincent Askew,Trail Blazers,1997-1998,REG,30,1.85,24.07,38.89,33.33,0.00,1.85,0.00,0.000,0.231,0.238,0.611,0.000,0.000,0.000
Darrell Armstrong,Magic,1997-1998,REG,48,14.47,48.16,10.53,23.68,1.05,1.58,0.53,0.364,0.339,0.375,0.611,0.500,0.333,0.000
Mark Jackson,Pacers,1997-1998,REG,82,21.40,19.23,28.26,29.60,0.50,0.50,0.50,0.305,0.374,0.444,0.497,0.333,0.667,0.333
Mitchell Butler,Cavaliers,1997-1998,REG,18,10.64,23.40,21.28,42.55,2.13,0.00,0.00,0.200,0.273,0.200,0.450,0.000,0.000,0.000
Terry Porter,Timberwolves,1997-1998,REG,82,26.86,34.66,7.63,17.68,9.88,3.12,0.17,0.394,0.440,0.500,0.559,0.474,0.222,0.000
Dana Barros,Celtics,1997-1998,REG,80,38.26,34.48,5.75,19.38,0.66,1.31,0.16,0.416,0.467,0.400,0.585,0.000,0.375,0.000
Joe Wolf,Nuggets,1997-1998,REG,56,7.44,63.64,14.88,13.22,0.00,0.00,0.83,0.111,0.325,0.278,0.500,0.000,0.000,1.000
Tom Gugliotta,Timberwolves,1997-1998,REG,41,2.52,59.53,14.02,23.78,0.16,0.00,0.00,0.125,0.489,0.371,0.656,0.000,0.000,0.000
Danny Manning,Suns,1997-1998,REG,70,0.66,42.86,20.77,35.45,0.13,0.00,0.13,0.000,0.444,0.408,0.679,0.000,0.000,0.000
Rick Mahorn,Pistons,1997-1998,REG,59,0.00,34.11,17.83,48.06,0.00,0.00,0.00,0.000,0.409,0.348,0.532,0.000,0.000,0.000
Anthony Peeler,"Grizzlies, Timberwolves",1997-1998,REG,38,22.38,42.38,11.90,15.95,4.76,2.62,0.00,0.404,0.421,0.380,0.642,0.500,0.455,0.000
Greg Foster,"Jazz, Magic",1997-1998,REG,78,0.96,54.31,12.44,31.58,0.48,0.24,0.00,0.000,0.441,0.308,0.523,0.000,1.000,0.000
John Starks,Knicks,1997-1998,REG,82,32.03,33.09,3.91,21.25,5.29,4.44,0.00,0.337,0.364,0.351,0.572,0.240,0.381,0.000
Bobby Hurley,"Kings, Grizzlies",1997-1998,REG,61,9.24,59.66,10.08,21.01,0.00,0.00,0.00,0.227,0.415,0.292,0.440,0.000,0.000,0.000
John Stockton,Jazz,1997-1998,REG,64,17.03,31.12,12.92,38.75,0.00,0.20,0.00,0.448,0.390,0.530,0.677,0.000,0.000,0.000
Mookie Blaylock,Hawks,1997-1998,REG,70,31.24,35.18,6.29,23.03,1.07,2.88,0.32,0.273,0.388,0.203,0.644,0.200,0.185,0.667
Glenn Robinson,Bucks,1997-1998,REG,56,5.46,60.83,17.96,15.49,0.18,0.09,0.00,0.387,0.450,0.441,0.614,0.500,0.000,0.000
Alonzo Mourning,Heat,1997-1998,REG,58,0.00,27.15,24.15,48.70,0.00,0.00,0.00,0.000,0.372,0.407,0.723,0.000,0.000,0.000
Rick Fox,Lakers,1997-1998,REG,82,24.90,16.21,9.73,39.95,2.72,6.36,0.13,0.302,0.416,0.307,0.659,0.524,0.306,1.000
Anthony Miller,Hawks,1997-1998,REG,36,0.00,5.77,11.54,82.69,0.00,0.00,0.00,0.000,0.333,0.333,0.605,0.000,0.000,0.000
Ledell Eackles,Wizards,1997-1998,REG,42,15.43,37.71,16.57,20.00,4.00,6.29,0.00,0.444,0.424,0.345,0.600,0.286,0.182,0.000
