name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Jerryd Bayless,PG,23,Jerryd Bayless,31,705,17.7,.561,.377,.319,0.6,24.6,1.5,0.6,2.0,.139,3.2,-1.9,1.3,1.3,9.5,5.5,30.7,1.8,0.5,14.4
Michael Beasley,SF,23,Michael Beasley,47,1087,13.0,.502,.203,.191,-0.5,25.3,-0.3,0.8,0.5,.022,-2.5,-1.4,-3.9,4.0,17.2,10.6,7.7,0.9,1.2,12.9
Rodrigue Beaubois,PG,23,Rodrigue Beaubois,53,1151,15.3,.496,.297,.155,0.9,22.0,0.5,1.7,2.2,.092,-0.1,1.4,1.3,1.9,12.8,7.4,22.7,2.6,1.9,12.8
Marco Belinelli,SG,25,Marco Belinelli,66,1966,11.9,.525,.414,.188,0.3,19.5,1.9,1.0,2.9,.071,0.5,-1.8,-1.4,1.2,9.1,5.2,8.9,1.3,0.2,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,
Raja Bell,SG,35,Raja Bell,34,796,8.3,.586,.500,.144,0.2,11.6,1.0,0.1,1.1,.069,0.5,-1.6,-1.1,0.9,6.3,3.5,7.0,0.9,0.2,10.2
Keith Benson,C,23,Keith Benson,3,9,6.0,.000,.000,.000,0.0,5.1,0.0,0.0,0.0,-0.005,-5.4,-5.1,-10.4,25.3,12.6,18.9,0.0,0.0,0.0,0.0
Mike Bibby,PG,33,Mike Bibby,39,557,7.8,.404,.685,.065,-0.1,11.9,0.0,0.7,0.7,.061,-2.3,-0.2,-2.5,1.0,11.3,6.1,21.2,1.9,0.4,13.6
Andris Biedriņš,C,25,Andris Biedriņš,47,739,8.8,.581,.000,.141,0.3,5.1,0.6,0.7,1.3,.085,-3.1,2.9,-0.2,6.9,20.0,13.5,3.0,1.6,4.7,17.1
Chauncey Billups,SG,35,Chauncey Billups,20,607,16.1,.554,.548,.417,0.3,23.4,1.5,0.2,1.7,.135,2.9,-3.2,-0.4,0.8,9.1,4.9,21.0,0.8,0.4,12.3
Bismack Biyombo,C,19,Bismack Biyombo,63,1455,10.6,.480,.000,.514,-0.7,13.1,-0.5,1.1,0.6,.019,-5.4,1.5,-3.9,8.6,20.8,14.5,3.1,0.7,5.9,17.2
DeJuan Blair,PF,22,DeJuan Blair,64,1363,17.6,.549,.002,.236,1.2,21.7,2.2,1.8,4.0,.142,0.8,0.8,1.6,13.2,16.3,14.8,9.2,2.2,0.6,14.2
Steve Blake,PG,31,Steve Blake,53,1237,8.5,.493,.590,.101,-0.3,13.0,0.2,0.8,1.0,.040,-1.4,-1.4,-2.9,0.9,6.6,3.8,21.0,1.7,0.1,20.5
Andray Blatche,PF,25,Andray Blatche,26,626,10.6,.415,.029,.200,-0.5,21.7,-0.8,0.6,-0.1,-0.011,-4.8,-0.3,-5.1,7.5,19.6,13.5,7.3,1.7,2.1,12.2
Eric Bledsoe,PG,22,Eric Bledsoe,40,464,11.2,.454,.238,.349,0.1,19.1,-0.4,0.6,0.2,.022,-3.0,2.0,-0.9,5.6,11.1,8.3,21.6,3.6,2.5,24.4
Keith Bogans,SF,31,Keith Bogans,5,94,4.8,.453,.571,.238,-0.1,12.8,0.0,0.0,0.0,-0.005,-2.3,-2.7,-5.1,6.0,7.6,6.8,5.1,1.1,0.0,11.5
Andrew Bogut,C,27,Andrew Bogut,12,364,14.9,.465,.007,.169,0.2,20.6,-0.1,0.6,0.5,.062,-3.2,3.2,0.0,6.5,24.3,15.1,13.7,1.7,5.0,14.1
Matt Bonner,PF,31,Matt Bonner,65,1326,13.2,.597,.714,.060,1.3,12.8,2.7,1.2,4.0,.143,2.3,-0.3,2.0,2.6,15.7,9.3,6.5,0.6,1.1,3.8
Trevor Booker,PF,24,Trevor Booker,50,1261,15.4,.549,.006,.273,0.7,15.6,1.6,1.4,3.0,.113,-0.7,1.0,0.3,10.6,18.6,14.5,5.1,2.0,2.6,13.2
Carlos Boozer,PF,30,Carlos Boozer,66,1948,19.7,.549,.001,.163,2.0,23.8,3.3,4.3,7.6,.187,0.3,1.7,2.0,6.7,25.3,16.1,11.8,1.7,0.9,11.3
Chris Bosh,PF,27,Chris Bosh,57,2007,18.9,.551,.043,.346,1.0,24.2,3.6,3.3,6.9,.165,-0.3,0.3,0.0,5.8,20.5,13.5,9.1,1.3,1.8,11.2
Earl Boykins,PG,35,Earl Boykins,8,111,10.3,.458,.250,.417,-0.1,20.3,0.0,0.0,0.1,.029,-3.2,-3.1,-6.3,0.0,11.6,5.7,23.0,0.5,0.0,14.1
Craig Brackins,PF,24,Craig Brackins,14,88,4.3,.325,.273,.061,-0.1,20.2,-0.2,0.1,-0.1,-0.065,-6.3,-1.9,-8.1,6.3,12.7,9.5,13.5,0.0,0.9,10.6
Avery Bradley,PG,21,Avery Bradley,64,1368,11.3,.555,.134,.194,0.2,17.9,0.6,1.9,2.4,.085,-1.6,0.3,-1.3,3.1,6.7,5.0,10.8,1.7,0.7,14.7
Elton Brand,C,32,Elton Brand,60,1732,18.0,.521,.002,.200,2.2,18.9,2.5,3.6,6.1,.168,-0.5,3.4,2.9,9.2,18.3,13.7,9.2,1.8,4.2,9.3
,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,SF,25,Corey Brewer,59,1287,13.7,.505,.274,.281,0.8,20.0,1.1,1.1,2.3,.085,0.3,0.0,0.3,4.0,9.4,6.8,10.6,2.9,1.0,9.7
Ronnie Brewer,SG,26,Ronnie Brewer,66,1635,12.3,.465,.155,.225,1.3,15.3,1.0,2.9,3.9,.113,-1.0,2.3,1.2,5.0,10.6,7.9,12.7,2.4,0.9,10.8
Jon Brockman,PF,24,Jon Brockman,35,239,6.6,.359,.022,.333,-0.2,11.4,-0.1,0.2,0.1,.023,-4.5,-0.8,-5.3,14.8,19.9,17.3,5.2,0.9,0.3,16.2
MarShon Brooks,SG,23,MarShon Brooks,56,1648,12.9,.502,.234,.231,-0.2,22.9,0.5,0.3,0.8,.022,-0.7,-1.8,-2.5,4.8,9.4,7.0,14.6,1.7,0.7,14.3
Derrick Brown,SF,24,Derrick Brown,65,1443,14.7,.556,.059,.345,0.2,16.8,2.0,0.3,2.3,.076,-0.3,-1.2,-1.5,7.3,11.6,9.4,8.5,1.8,0.6,10.5
Kwame Brown,C,29,Kwame Brown,9,187,11.1,.519,.000,.850,-0.2,17.0,-0.1,0.2,0.1,.031,-4.7,-1.5,-6.2,9.7,24.8,17.3,3.2,2.2,0.0,20.3
Shannon Brown,SG,26,Shannon Brown,59,1400,13.6,.507,.314,.166,0.2,22.8,0.8,0.8,1.6,.054,0.0,-1.3,-1.3,3.1,9.5,6.3,8.1,1.6,0.8,9.1
Kobe Bryant,SG,33,Kobe Bryant,58,2232,21.9,.527,.215,.338,2.4,35.7,4.2,2.0,6.2,.132,3.6,-1.4,2.3,3.5,11.8,7.8,23.7,1.6,0.6,11.7
Chase Budinger,SF,23,Chase Budinger,58,1298,14.9,.556,.465,.149,0.6,19.5,2.0,1.0,3.0,.111,1.2,-1.3,0.0,3.4,16.2,9.7,9.3,1.2,0.4,9.9
Alec Burks,SG,20,Alec Burks,59,939,14.0,.506,.126,.401,-0.1,22.5,1.1,0.4,1.5,.076,-0.2,-2.2,-2.5,6.9,9.3,8.1,9.5,1.5,0.4,10.8
Caron Butler,SF,31,Caron Butler,63,1871,11.7,.501,.365,.152,-0.1,20.4,1.2,1.1,2.3,.059,-0.7,-1.5,-2.2,2.8,12.0,7.3,6.8,1.5,0.4,9.3
Jimmy Butler,SG,22,Jimmy Butler,42,359,12.5,.526,.139,.709,0.1,14.9,0.5,0.6,1.1,.144,-1.7,0.4,-1.3,7.3,10.1,8.7,5.7,1.6,1.0,11.9
Rasual Butler,SF,32,Rasual Butler,34,453,4.8,.398,.579,.090,-0.4,15.9,-0.6,0.4,-0.2,-0.022,-4.2,-1.3,-5.5,1.6,15.4,8.5,6.8,0.8,0.9,9.8
Derrick Byars,PF,27,Derrick Byars,2,37,14.9,.392,.545,.364,0.0,15.7,0.1,0.1,0.1,.147,1.6,-1.1,0.6,19.0,15.2,17.1,3.7,2.8,0.0,0.0
Andrew Bynum,C,24,Andrew Bynum,60,2112,22.9,.594,.006,.425,2.0,23.8,4.8,3.3,8.0,.183,0.7,1.2,1.8,10.6,26.1,18.7,7.4,0.7,4.0,13.9
Will Bynum,PG,29,Will Bynum,36,514,10.0,.459,.149,.330,-0.4,24.8,-0.7,0.4,-0.2,-0.022,-3.6,-1.6,-5.2,2.3,11.1,6.5,22.4,2.4,0.5,19.6
José Calderón,PG,30,José Calderón,53,1799,16.7,.547,.333,.143,0.7,16.0,3.9,1.2,5.1,.136,2.2,-2.6,-0.4,1.3,9.1,5.2,44.2,1.4,0.1,17.0
Marcus Camby,C,37,Marcus Camby,59,1352,16.2,.455,.017,.223,1.7,12.6,1.1,2.5,3.6,.127,-1.9,4.9,3.0,13.3,32.7,22.8,11.9,1.9,4.8,15.3
Marcus Camby,C,37,Marcus Camby,40,894,14.5,.428,.000,.236,1.0,11.5,0.3,1.6,1.9,.100,-2.8,5.2,2.4,13.4,33.2,23.1,12.4,1.9,4.8,20.9
Marcus Camby,C,37,Marcus Camby,19,458,19.6,.491,.040,.206,0.7,14.6,0.8,0.9,1.7,.179,-0.2,4.3,4.1,13.0,31.7,22.3,10.9,1.9,4.7,6.8
Brian Cardinal,SF,34,Brian Cardinal,44,277,3.3,.373,.891,.109,-0.1,11.0,-0.3,0.3,0.0,.004,-3.8,0.1,-3.7,1.6,12.1,6.9,8.3,1.5,0.6,12.2
DeMarre Carroll,SF-PF,25,DeMarre Carroll,24,348,11.1,.478,.181,.152,0.1,15.9,0.3,0.2,0.5,.069,0.0,-1.3,-1.3,9.1,8.3,8.8,8.1,1.8,0.2,8.9
DeMarre Carroll,PF,25,DeMarre Carroll,4,21,25.2,1.000,.000,.000,0.0,17.0,0.1,0.0,0.1,.211,4.8,-3.4,1.4,0.0,16.2,8.3,27.7,0.0,0.0,25.0
DeMarre Carroll,SF,25,DeMarre Carroll,20,327,10.1,.448,.192,.162,0.0,15.8,0.2,0.2,0.4,.060,-0.3,-1.1,-1.5,9.7,7.8,8.8,6.9,1.9,0.2,7.8
,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Carroll,SG,31,Matt Carroll,53,596,5.6,.409,.274,.242,-0.8,15.3,-0.7,0.1,-0.6,-0.051,-5.3,-2.1,-7.3,1.5,10.0,5.6,10.6,1.4,0.9,12.1
Anthony Carter,PG,36,Anthony Carter,24,209,8.7,.409,.321,.189,-0.1,16.8,-0.3,0.3,0.0,.001,-4.2,0.9,-3.3,2.8,15.5,9.3,25.9,2.1,1.6,22.8
Vince Carter,SG,35,Vince Carter,61,1542,13.6,.519,.378,.212,1.0,20.4,1.0,1.8,2.9,.090,0.0,0.6,0.6,2.3,12.5,7.5,15.0,1.9,1.3,12.4
Omri Casspi,SF,23,Omri Casspi,65,1341,11.2,.499,.408,.262,-0.1,17.6,0.6,0.6,1.2,.044,-1.2,-1.1,-2.4,5.1,14.5,9.7,8.4,1.5,1.2,12.2
